,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
18,Nữ,Bac Lieu,không phải hướng nội nhưng không thích chỗ đông người hướng nội 35% trung lập một người ít nói hướng nội ưa mạo hiểm,cũm được nước c2 chanh,thần số học xem phim kinh quẻ,"Hoà đồng, dễ chịu",bóng bàn tập trung nghiên cứu một vấn đề nào đó văn học tâm lí học hội hoạ,2,8
19,Nam,Kien Giang,"dễ tiếp xúc hương ngoại nhưng khó kết bạn với hơi trầm hướng nọpi cá tính mạnh mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự",mình ăn uống healthy nền chỉ uống nước ép trái cây cơm trộn,đàn hát bóng đá,Hòa đồng,trang điểm học ngoại ngứ mac os tấu hài,2,7
20,Nữ,Hung Yen,thường thích ở một mình tôi thích nói chuyện với mọi người nhưng đồng thời tôi cũng có những lúc thích một mình hòa đồng,phở); thức uống: nước có ga bánh ướt cơm ăn hải sản,thích hút thuốc học hỏi holywood bơi lội,"sạch sẽ, thoải mái, giỏi, hòa đồng",hích võ taekwondo lưới fb đi ăn cà phê,5,8
21,Nữ,Tuyen Quang,người hướng nội 50% hướng ngoài hòa đồng không thích đám đông lắm nhưng dễ hòa nhập dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều.,bia cá hồi thịt xào nấm mèo socola đá xay bún chả,đếm tiền thiết kế bói tử vi tham gia hoạt động ngoại khoá đi coi phim,Đàng hoàng là được,đi đây đi đó với bạn bè( một mình) uống cà phê đọc truyện tranh chơi đàn,4,6
22,Nam,Bac Ninh,là người là một người khiêm nhường v.v mình là người thích đi ra quán cafe để học bài,các loại bánh ngọt stings ăn đồ tự nấu,nhảy thích chơi bóng rổ đi chơi ngoài trời,"Hòa đồng, sạch sẽ ",thích đọc sách thích đi bộ âm nhạc nhảy,3,3
23,Nữ,Ninh Binh,tính cách thất thường khá hướng nội. thích sạch sẽ,nem nướng nha trang nem nướng,đi coi phim công nghệ nghe nhạc,"Hiền, học giỏi (chung ngành càng tốt), có đạo đức, không quậy phá, cùng nhau đi chill",pha chế nói chuyện cùng bạn bè bóng đá nghiên cứu về tài chính ko,1,7
24,Nữ,Yen Bai,tùy lúc thích giao lưu,nước trái cây bông lan trứng muối ăn cơm mẹ nấu,phụ kiện công nghệ học công nghệ,"hòa đồng, thân thiện",chơi yasua,6,2
25,Nữ,Dong Nai,thích ở 1 mình thích yên tĩnh dễ thương hướng nội ít nói,cá dồ kho,game nghiên cứu về tài chính vận động thể lực (nhẹ) thích chơi game offline bơi lội.,"Có thể là người học mỹ thuật hay kinh tế, vừa vui vừa trầm tính học giỏi hoạt bát",làm gốm,6,5
26,Nữ,Nam Dinh ,hướng nội part time nhưng lại thích giao lưu =)) là một người nhiệt tình,lẩu kim chi cheese fries đồ ăn nhanh trà sữa,đánh cờ vua,Người nào cũng được nhưng biết giữ không gian riêng tư cho đối phương,thích đi du lịch hát phim môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính ngủ coi phim ăn,6,8
27,Nữ,Lao Cai,thích giáo tiếp với nhiều người thích ở một mình nhưng vẫn hoà đồng giao tiếp tốt với mọi người không phải hướng nội nhưng không thích chỗ đông người thích sạch sẽ,trà chanh trân châu thích ăn mì tômmmmm bánh plan,trang điểm đu otp ngắm bầu trời chiêm tinh nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster,"Người vui tính, hoà đồng, thẳng tính, hoạt bát…",sở thích của mình là thay vì thoát khỏi áp lực,4,2
28,Nam,Lang Son,vui vẻ…,bánh tàu hủ. các món nướng như cơm sườn,nghiên cứu về tài chính thích chơi cầu lông diy..,"Hiểu chuyện, đừng ở dơ, Đừng quá ồn ào, nếu chung sở thích thì càng tốt",đi xe đạp,3,5
29,Nữ,Dak Lak,là một người nội nhộn nhịp,khô các loại,lưới fb nằm dài nghe nhạc,"mong muốn được ở cùng với người có sở thích khoa học với mình, để cùng nhau nói chuyện ",nhảy,9,4
30,Nữ,Ninh Binh,không thích sự ồn ào thích trò chuyện ngại bộc lộ tâm tư tình cảm cá nhân với người khác. yêu thiên nhiên,hoành thánh,xem phim hàn nhảy dây thich chơi thể thao võ đi dạo,"dễ gần, hòa đồng",vi vu dạo phố đá bóng,1,6
31,Nữ,Ninh Binh,chỉ thích ngủ một mình,bánh mì... mình thích trà bí đao ngô gia,ngủ coi phim ăn âm nhạc ( nghe nhạc) thích ngồi lướt mạng xh cả ngày,"Người vui vẻ, hoà đồng nhưng cần không gian riêng không làm phiền người khác như buổi tối, ở sách không bừa bộn",đá bóng bóng chuyền,7,9
32,Nữ,Tra Vinh,hướng nội thích ở một mình thích làm việc,bánh chocopie,tâm lí học học nói chuyện cùng bạn bè đông y,"người vui tính, hòa đồng, hay ham chơi, hoạt bát, ...
",đọc manga xem anime xem phim âu action nghe nhạc nhiếp ảnh,4,8
33,Nữ,Binh Duong,hướng ngoại 65%,"đồ cuốn
pepsi đồ ăn hàn quốc snack lẩu chay",của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng) lướt mạng nghe nhạc,"sạch sẽ, thoải mái, giỏi, hòa đồng",trang trí phòng ngủ,6,7
34,Nữ,Yen Bai,ít nói,mình thích uống trà sữa cơm cháy kho quẹt coca-cola quả thích ăn vặt,đi chơi,Không có,vân vân... ...) cờ vua ,6,9
35,Nữ,Thai Nguyen ,lắng nghe riêng tư lúc hướng nội lúc hướng ngoại cống hiến hết mình,bánh cuốn chất béo hay phô mai. không ăn được cua :3 bánh . nước coca . mì cay...,thường thức tác phẩm nghệ thuật nhạc cụ bơi lội bóng chuyền ….,thích ăn,viết lách,6,2
36,Nam,Quang Nam, dễ thích ứng hướng ngoại partime yên tĩnh thân thiện,paparoti thức ăn gì ngon đều yêu thích cháo lòng thích ăn mì cay,gym dark fantasy manga đi chơi lịch sử vệ sinh máy tính,mong muốn có một người thích đánh cờ và năng động giống mình,xem tv series quay tik tok,9,1
37,Nam,Gia Lai,có trách nhiệm hướng ngoại full time hướng nội với người ngoài hướng ngoại thân thiện vui vẻ,cơm stings đồ thái,trang trí phòng ngủ làm mô hình đi ăn nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster,"Bạn cùng phòng phải là người hiểu chuyện, lịch sự, sạch sẽ và chịu đi chơi với tôi",chính trị ngủ cầu lông,3,3
38,Nữ,Quang Ninh,thích 1 mình ít nói nhiều không thích nơi đông người người đang học trường fpt,sữa chua mít món nào chay đều thích,thích coi phim tham gia hoạt động ngoại khoá tin học đi chơi,thằng bạn thích hút thuốc,cafe ở nhà một mình vẽ quay tik tok,9,7
39,Nữ,Bac Lieu,hướng nọpi là một người hướng nội hoà đồng vui vẻ,đồ ăn chay cơm ngon còn bánh bao hơi dở đồ nhướng,đi tập thể dục thích nhảy vi vu dạo phố tìm hiểu những kiến thức đa ngành lướt mạng,"vui tính, sẵn sàng quan tâm chia sẻ, biết lắng nghe, chăm chỉ làm việc nhà, biết giúp đỡ",android,6,6
40,Nữ,Hai Duong,ko thích đi chơi thích trò chuyện xàm,thích đồ ăn có trứng muối mình ăn uống healthy nền chỉ uống nước ép trái cây ăn đồ ngọt uống nước ngọt bánh gai các loại mì,nhảy dây trồng cây phụ kiện công nghệ thích ngủ,Vui tính và sạch sẽ ,học hỏi xem phim đặc biệt là thích nhạc của sơn tùng m-tp,3,1
41,Nam,Bac Ninh,mình là một người hướng ngoại hòa đồng không thích đám đông lắm nhưng dễ hòa nhập,trứng ốp la khoai tây snack,kinh quẻ ios,"Bất kỳ ngành nào cũng được, lịch sự, tôn trọng bạn cùng phòng ",lưới fb mình thích đọc tiểu thuyết và truyện tranh ko thích gì hết đọc truyện ...,4,8
42,Nữ,Hai Duong,í nói hướng nội thích cứ gái hướng ngoại tùy hoàn cảnh ; không thích nơi quá ồn ào ; không thích người nói nhiều ; không thích nói đùa ; nhớ dai nhưng cũng dễ bỏ qua ; không thích chia sẻ tâm sự ; không thích bị quản lý ; hơi vô tâm ; dễ xúc động ; cái tôi cao ; có tham vọng ; hoàn toàn tự hào khi làm tốt 1 công việc được giao cá tính mạnh,hủ tiếu xào paparoti cơm gà rau củ bánh mì thịt xá xíu,tâm lý học ngắm cảnh,Vui vẻ hoà đồng,học công nghệ ….,6,5
43,Nam,Lao Cai,thích vui cần cù,xoài chua chấm muối ớt chua lè sữa đậu nành,ăn uống tiếng anh... nghệ thuật học hỏi ,"BIẾT ĐIỀU, biết cư xử
NÓI ÍT THÔI
ở sạch sẽ
chia việc nhà
có thể tin tưởng được (tiền bạc)
ngủ đừng ngáy
trình độ xấp xỉ như mình chứ đừng zốt quá nó ô dề lắm :b",thử nhiều điều mới,1,8
44,Nam,Nghe An,tự do năng động thân thiện vui vẻ... ít nói,beer gà hấp nước mắm bún cá bánh chuối chiên,kiếm tiền tấu hài thử nhiều điều mới xem phim ngôn tình,"Sạch sẽ, hoà đồng, hiểu biết",tám chuyện đi từ thiện mac os,1,4
45,Nữ,Tay Ninh,hướng ngoại tùy hoàn cảnh ; không thích nơi quá ồn ào ; không thích người nói nhiều ; không thích nói đùa ; nhớ dai nhưng cũng dễ bỏ qua ; không thích chia sẻ tâm sự ; không thích bị quản lý ; hơi vô tâm ; dễ xúc động ; cái tôi cao ; có tham vọng ; hoàn toàn tự hào khi làm tốt 1 công việc được giao ambivert,nước lọc socola đá xay revive đồ bình dân hoi. buger,phong thủy,Người nào cũng được nhưng biết giữ không gian riêng tư cho đối phương,cờ tướng đọc sách.. esport thích chơi game offline,7,4
46,Nữ,Dak Nong,thích ở 1 mình nhiệt tình xàm quyết đoán không thích cảm giác 1 mình lắm nhưng đi với nhiều người thì không biết phải nói gì,không có cụ thể thích 1 món ăn hay đồ uống nào,thích ngồi lướt mạng xh cả ngày đồ ăn ngọt kiếm tiền,không thích chung phòng,game phá máy tính thích đi bộ nấu ăn thích đá banh,5,7
47,Nữ,Ca Mau,tính cách thất thường dễ ngại  ít nói hướng nội,pepsi vị chanh không calo,nằm dài nghe nhạc tiêu tiền. tin khoa học travelling,Yên tĩnh,âm nhạc ( nghe nhạc) thể hình tập thể dục ngoài trời trí tuệ như nhau nên điều đó cũng là một sự thú bị,5,1
48,Nam,Quang Tri,ồn ào ít nói nhưng thích đám đông thích tự do tích cực người hay thay đổi,đồ hàn sinh tố bơ paparoti những món có vị chua cá viên chiên mắm tỏi,chơi cờ vua tấu hài xem phim đặc biệt là thích nhạc của sơn tùng m-tp đếm tiền vệ sinh máy tính,Ít nói,choi game tìm hiểu những kiến thức đa ngành,2,4
49,Nữ,Lao Cai,hướng nội part time sống lowkey vui vẻ... một người hướng nội thích sự im lặng,đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í. thích uống trà sữa em thích các loại bún ạ bánh gai eatclean,học hóa học toán gym mình thích hát tìm hiểu những kiến thức đa ngành,"Người vui tính, có thể nói nhiều một chút, ở sạch, ăn xong nhớ dọn, tôn trọng riêng tư, nếu cùng ngành thì tốt, không cùng cũng không sao",đạp xe đạp thể hình đọc truyện viết code,4,8
50,Nữ,Hau Giang ,thích ờ chỗ không đông người khá hòa đồng dễ bắt chuyện ít nói nhiều hoà đồng với mng ít nói nhưng hay chia sẻ với mn,kẹo,chiêm tinh học xe cộ thích coi phim đi ăn,Người ngay thẳng,học toán,8,4
51,Nữ,Thai Binh,người hướng ngoại hướng ngoại khi cần thiết,chocolate bánh khọt kem thích ăn đồ ăn của mẹ với cậu nấu. thích nhất là canh khổ qua trứng,học hóa,"biết làm việc nhà, sạch sẽ",đọc sách.. đi dạo thích tranh biện thường thức tác phẩm nghệ thuật,3,2
52,Nam,Yen Bai,em thích ở tập thể nhưng có không gian riêng. em hướng nội hướng ngoại part time tự do,bimbim đồ nướng thích đồ chay,sự logic,"Hòa đồng, cùng sở thích ",chơi cờ vua ca hát môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính,6,9
53,Nữ,Nam Dinh ,nói nhiều thích coi phim một người hướng nội thích sự im lặng,hải sản,ở nhà một mình edit,"vui tính, tích cực",dọn dẹp …. call điện thoại các hoạt động phải chạy,8,7
54,Nam,Thai Nguyen ,linh hoạt ngại bộc lộ tâm tư tình cảm cá nhân với người khác. là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime 1 tháng chắc 1-2 lần) để giao lưu logic,revive chỉ thích cafe phin khoai lang lắc,lịch sử,không có ạ,gym thích đi karaoke bóng bàn vân vân... các chương trình giải trí,1,9
55,Nữ,Dak Lak,lúc hướng nội lúc hướng ngoại yên tĩnh,trà đá bánh bột lọc o mỗi buổi sáng trà olong,xem anime shopping ăn uống phim hành động,"Vui tính, thíc người hay nấu ăn biết mặc cả =)) vì mình ko biết mặc cả hihi, tinh tế, ko so đo ",… thích đọc sách chính trị,5,2
56,Nam,Dak Lak,nửa hướng ngoại,món ăn health ăn haidilao khoai tây tắc trái cây,học ….,Yên tĩnh,yoga đi tản bộ trí tuệ như nhau nên điều đó cũng là một sự thú bị chơi vape bóng bàn,3,4
57,Nam,Quang Ninh,không thích sự ồn ào,pepsi vị chanh không calo,xem phim đặc biệt là thích nhạc của sơn tùng m-tp em thích chơi nhạc cụ android,"Ít nói, không nhiều chuyện",đi xe đạp đi dạo hích võ taekwondo,1,5
58,Nam,Vung Tau,cần cù ghét sự cô đơn có lòng tự trọng bán hướng nội ambivert,cơm cháy kho quẹt cơm,thích đá banh kiếm tiền thích động vật,"ngành công nghệ thông tin, tính tình vui tính, hòa đồng",cafe của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng) đọc tiểu thuyết,1,4
59,Nam,Hoa Binh,thích ở một mình,gà gà nói chung,nhảy chăn nuôi ở nhà một mình chơi đàn piano xem các show giải trí thực tế,"Vui vẻ, hòa đồng, biết nhậu",thích đọc thích xem phim đánh cầu lông thích nghe nhạc phá máy tính,3,2
60,Nam,Dien Bien,thích giao lưu không thích nơi đông người hướng nội với người ngoài dễ quạu dễ nguôi thích nghệ thuật,nước dừa,thích chill học ngoại ngứ đi ăn đạp xe,"Vui tính, hoà đồng, sạch sẽ, chăm chỉ",đánh bóng bàn bới lội đi tản bộ,9,7
61,Nam,Vung Tau,thích một mình hướng ngoại thích giao tiếp vui vẻ hoà đồng làm quen nhiều bạn mới,các loại trà trái cây nước lọc,ca hát thư giãn xem phim hàn,Không ồn ào,đi tản bộ đạp xe đạp cầu long. thích xem tivi,7,9
62,Nữ,Nghe An,hoà đồng mình là người hòa đồng ambivert,"mình thích ăn đồ ngon=))))
ăn chay hay ăn mặn gì cũng đc không rõ cơm nước ngọt blahblah thức ăn có vị cay",... ráp pc coi phim được ăn tập thể dục,sạch sẽ và không ích kỷ,thích tranh biện thích đọc sách tập thể dục ngoài trời thích chơi với chó mèo,9,4
63,Nữ,Phu Tho,mình là một người hướng nội,đùi gà thích ăn vặt cơm trộn các món gỏi,thần số học nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster âm nhạc ( nghe nhạc),Vui vẻ,đàn hát học hỏi ko thích bị ép buộc tin khoa học ngủ coi phim ăn,7,3
64,Nữ,Nam Dinh ,lowkey,thích ăn trứng vịt lộn phở…,thích chơi game tụ tập với bạn bè ăn uống khoa học holywood,"Biết chia sẻ công việc, có tính tự giác, trách nhiệm,hòa đồng, bình đẳng",dark fantasy manga du lịch,6,4
65,Nữ,Bac Kan,hướng lung tung người suy nghĩ nhiều ....,món nướng bánh ngọt thì cái gì mình cũng ghiền nhưng điều kiện là phải nấu ngon mì nước lọc,câu cá đá bóng thích khám phá xung quanh thich chơi thể thao võ thích đi chơi với bạn bè,"Công bằng, sòng phẳng, thân thiện, hiểu biết, tôn trọng quyền riêng tư của mọi người",bói tử vi chơi bóng rổ coding âm nhạc sự logic,9,8
66,Nam,Thai Binh,hướng nội thích ở 1 mình hơi hướng nội là một người hướng nội thích ở một mình nghiêng về hướng ngoại,moutain dew bánh chuối chiên,thích tiếng anh đọc truyện tranh chơi game,thằng bạn thích hút thuốc,shopping được ăn,1,3
67,Nữ,Thai Nguyen ,hướng nội nói nhiều,trà sữa thịt bò ăn cơm mẹ nấu red bull fast food,thích tiếng anh,Học giỏi,môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính,1,5
68,Nữ,Khanh Hoa,là một người ít nói hướng nội,nước ép mỳ tôm ăn đồ ngon thức ăn chill,chơi vape ios của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng) khám phá xung quanh,Dễ dãi,coi phim anime bóng rổ xe cộ cầu lông mac os,1,3
69,Nam,Ben Tre,ghét phiền phức cầu toàn,đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í. bún cá châu đốc socola đá xay ....,bóng đá pha chế,"1 người tốt bụng , dễ gần",lịch sử học hóa xem youtube ngủ nghỉ ngơi học ngoại ngứ,7,7
70,Nam,Bac Kan,cần cù ....,đồ chiên đậu hũ cà chua. .... khô các loại fanta vị nho : d,thich chơi thể thao võ,"Hoà đồng, vui tính",thích khoa học em thích chơi nhạc cụ,1,9
71,Nữ,Vinh Long,khá hướng nội. thích sạch sẽ,bò nướng bánh tráng trộn,hát holywood đạp xe đạp thiết kế thích bơi,Thích 1 mình,môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính viết lách mình thích chạy bộ nhảy,3,8
72,Nữ,Hai Duong,thích ở một đám vui vẻ hoạt bát năng động nhưng hơi hướng nội thích tìm hiểu thích giao tiếp,ăn đồ tự nấu bạc sỉu hủ tiếu xào thịt kho mắm ruốc mình ăn thích ăn đồ healthy,thiên văn học xem phim ngôn tình lịch sử trò chơi điện tử,"Người không nói quá nhiều, hiền hòa, trưởng thành, sạch sẽ, biết quan tâm, để ý tiểu tiết (theo hướng tích cực), ",chơi cờ vua,5,9
73,Nữ,Dak Lak,thích ở 1 mình hoà đồng với mọi người vui vẻ... cần cù,hột vịt lộn rang me cá tra nhúng giấm bánh tép bông lan trứng muối,vận động thể lực (nhẹ) o buổi tối,sạch sẽ và không ích kỷ,toán học thiết kế,3,8
74,Nam,Binh Dinh,người suy nghĩ nhiều,"ăn cơm mình thích ăn đồ ngon=))))
ăn chay hay ăn mặn gì cũng đc",học tiếng nhật khoa học badminton decor phòng nhảy dây,"Hiểu chuyện, biết giữ gìn hoà khí chung, giữ vệ sinh nhà cửa sạch sẽ, không tính toán với bạn cùng phòng khác.",nhảy vệ sinh máy tính đàn hát,8,7
75,Nữ,Quang Nam,hướng nội về đêm. có thể chia sẻ giúp mn vượt qua sự tiêu cực nhưng bản thân mình thì không hướng nọpi một người hoà đồng thích có thể mời người ta đi ăn nếu vui dễ thích nghi,trứng ốp la kfc bánh bèo bò né ỏi,thư giãn thần số học bóng đá thích ngồi lướt mạng xh cả ngày,"Vui tính, hoà đồng, sạch sẽ, chăm chỉ",hát ...),5,9
76,Nam,Yen Bai,ghét phiền phức có thể mời người ta đi ăn nếu vui,bánh mì khô các loại,pokemon cờ vua đi dạo phim truyền hình esport,Không soi mói,ios hích võ taekwondo,8,4
77,Nữ,Tien Giang,là một người hướng nội thích ở một mình lowkey thích đi dây đó hướng ngoại partime,ăn cơm mẹ nấu các đồ ăn hỗ trợ cho việc giảm cân bún bò phở hu tiu com tam coca,thiên văn học,"Sạch sẽ, yên tĩnh, không câu nệ tiểu tiết",kinh quẻ chụp ảnh bơi lội đá banh,1,4
78,Nam,Soc Trang,là người ít nói chuyện,thịt bò bánh khọt,o buổi sáng bóng chuyền thần số học vi vu dạo phố cũng không biết thích gì,Người ngay thẳng,chiêm tinh nghe nhạc học công nghệ,2,1
79,Nữ,Ninh Thuan,thích đông vui có quy tắc riêng hướng nội part time,phô mai kéo sợi xúc xích đồ hàn,thích nghe nhạc thư giãn làm mô hình,thân thiện ,tâm lí học android,7,3
80,Nam,Dong Nai,đam mê học tập muốn một mình nhưng sợ cô đơn,phở xào,travelling đi du lịch sự logic thích môn toán xem youtube ngủ nghỉ ngơi,"hòa đồng, thân thiện",tiền kiếm tiền thích tranh biện,9,2
81,Nam,Thanh Hoa,quyết đoán thích có ko gian riêng tư 1 mình,stings cheese fries beer,vẽ tranh nghiên cứu về tài chính thích ngủ hacking,khong co ,ca hát chơi nhạc,8,1
82,Nữ,Quang Tri,hướng ngoại thích chia sẻ tuy nhiên hơi khó ngủ hướng nội thích ở một mình,mì cay hủ tiếu nam vang xôi mặn nước ngọt miễn là nước ngọt có ga,tham gia hoạt động ngoại khoá mầy mò linh kiện máy tính,"Người vui vẻ, hoà đồng nhưng cần không gian riêng không làm phiền người khác như buổi tối, ở sách không bừa bộn",sở thích của mình là thay vì thoát khỏi áp lực đọc manga xem anime xem phim âu action nghe nhạc thích chơi bóng rổ thích môn toán,8,5
83,Nữ,Vung Tau,mình là ng dễ giao tiếp đôi khi ko thích chia sẻ nhiều lắm quan tâm người khác 50% hướng ngoài,mỳ xào bánh mì thịt xá xíu đồ ăn vặt hoặc đồ hàn,làm mô hình bóng chuyền xem mv ca nhạc,"Người vui tính, có thể nói nhiều một chút, ở sạch, ăn xong nhớ dọn, tôn trọng riêng tư, nếu cùng ngành thì tốt, không cùng cũng không sao",game mobile chơi bóng rổ o buổi tối,7,5
84,Nữ,Ha Tinh,là người 50% hướng nội là một người nhiệt tình hướng ngoại thích chia sẻ tuy nhiên hơi khó ngủ là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime yêu thiên nhiên,đồ ăn nhanh hải sản nước,game chơi hame nhảy nghiên cứu về tài chính,"Vui tính, hòa đồng",ko thích bị ép buộc,9,6
85,Nam,Gia Lai,extrovert là một người khiêm nhường,mì ý cứ đồ ăn là thích,game xem phim ngôn tình,"Có trách nhiệm, sạch sẽ",travelling thể thao hóng drama thích ngồi lướt mạng xh cả ngày video game,4,7
