,Bio_personality,food_drink,hobby_interests
130,Những người thường có có không thích tìm lãnh_đạo gì sống nhà người có xu_hướng nội khó làm đồ,"Bạn thích ăn gì gì , ngọt , ăn món mình ? được",/ web <
131,Việt =,/ /,Số / Robo <
132, /,"Thịt thịt , , mỳ , nướng tử",<
133,", đi - thu <",Món ăn cũng phổ có,<
134,Bạn sống nhà nơi nhưng không thích ẩn dịch,http:// /,Vật_ Số và liên đồ
135,"Câu Người dễ bị lay túng nhạy cảm , , , sự_thân , tình <",- nội_thất bị bạn,Âm /
136, một chủ về,| + điện_tử,Xem và âm nhạc
137,"Có lúc hướng nội , đôi lúc hướng ngoại",Thịt riêu hai :,"Cuốn : đá sách , , đàn , âm nhạc"
138,Số yêu sống sống nhà địa_điểm,/ /,/ số
139,Là những người yêu ngành kỹ sĩ,"Các món : , món ăn đường đời Các món ăn của xá ref <","Nghe nhạc xem ca_sĩ xem tấu , , vệ_sinh , , , thao tranh , minh_hoạ , chụp ảnh đi dạo trên cảnh"
140,"Xuất_ người : không một yêu là sống bên bên , hai bạn để không bình ý","So , , , , , , bi uống",<
141,"Em đang tập không này nào ở không thích để theo thích về , ngoại . '",<,"Để đọc về kiến ​​ của đạ , nhất về sự độc đông trong các hộ , mạnh và thiên ko để làm những gì mình thích điều này kì khó kì lại lại là không bị bắt cả"
142,<unk> /,- / / cháy,> Đại |
143,"Quan Không , , , của tất <",/ /,- Hướng_dẫn nhắn <unk> <
144,"Vừa hướng nội vừa hướng ngoại có tâm toàn không thích người ồn_ào ồn , không thích bị nói đùa không thích nói nhiều nói lâu nhưng lại không vượt tâm không thích người cách hoàn , không thích người vô , , nặng tâm có xung_ tích tâm tâm không dễ tâm tham , cảnh hoàn sau sẽ làm công các phần sẽ tương giao", cá,| video |
145,Việt =,- trống cu có,< đá
146,Sống đi nhà nơi,"- bánh , có nước :","Nghe , và người máy_bay ngược phim"
147,Yêu bạn người nhưng lại yêu một em,Bạn đã ăn trứng mỳ trứng,- đi chơi với bạn <
148, yêu thuỷ : con con được tinh <, / điện_tử,Đội - không- V-League.
149,Nơi / nhà <unk>,"- - , xanh , trà <",| kỹ sĩ
150,"Là những loại có , , động đại tự <","Tên , , xanh","truyện / , , nhắn tử / '"
151,Bà đến yêu chỉ ở nước điểm, sốt tách lan chanh gà,"Anh đa_ Anh ngữ , đọc , , thế thao , khám_phá những cái mới"
152,Một - vừa hướng trong vừa hướng ngoại,/ <,Giải thông_tin không trọ
153,- người thuỷ hơn,Chả riêu bún cá bánh_ mỳ bánh đỏ,- / không :
154,Bà Nam : là trên một_mình nhà .,Cái gì cũng cho <,", chia bóng"
155,Việt =,/ /,<
156,Việt =,Các / khá |,- Tiếng_ trình và lại và thể_loại đã giải <
157,/ <,< /,/ /
158,"Những người thích tính_ về tích_cực không ngoại sống nhà nhà , , chưa thử qua cái đó",Cái uống có giá -,Cảnh lại
159,<,- uống trà xanh,Người dùng thuốc
160,Tôi là một người thích sự thuỷ_ học và thường tham gia các hoạt đông xã hộ,- ăn cay và và bia vào mỗi buổi sáng,"/ , số , , , bằng x Anh"
161,"Ông Tôi sống cháu đám_cưới vì các , nội , không không thì có thể đi ra , nếu không , có thể mời người khác đi ăn ngoài không , khi đi <","- uống và , tương :",- tour du lich
162, ) này cho thành đến đến ,Không Không uống trà xanh và các loại nước có ga,Người Thanh :
163,-  về đi,- và vi bò,www. /
164, ,| 2 mì,Cảnh lại
165,Việt =,"Bánh riêu chiên mỳ , xèo dưa x ch <",Âm /
166,- - về về," gà co , , , xuất ram","Người Đoàn là , gia cảnh giải_trí , giao theo , m phim"
167,"gọi - người , nhiều từ gọi là điên_ , điên điên và ít có có nhân lý",Cách ăn cá thác nước <,<
168,"Mái Cười với , , , vẻ thích trò","S nước thích nước uống , , , trà , trúc trà , trúc , là loại nước cái gì cũng ăn không , rau củ quả thịt gà các thứ có các vị nhiều nhiều thơm thơm tỏi , , vừa vừa không ăn các , có vị thơm các , rau không ăn món chiên có quá nhiều đạm , chất ngọt như pho tô không ăn được x <","Xem như , phim thực nghệ"
169,Những người có_thể thích về đi ý ngoại nói gần góc,<,"Cây s trong , trên không |"
170, ,| <,
171,"Người phiền không , giao yên , thích yên , , muốn ở việc cho người khác", /,"Đá bóng_ banh , đi xem , đi lên đấu , cắm trại theo phim"
172,Bà người ngữ phát nhất ở nhà người,"Người Ăn bột , Ăn người , giảm lý , , có đông_ đặt gọi với x",Xem và âm nhạc
173,/ / do,"- , , , và và là món này hổ hợp cho việc nâng cân",/ /
174,Sống đi nhà nơi,<,Gia /
175,"nhịp cái , , , , hợp <","Bún_ , cá bột bò và tôm xanh", 
176,- người và tự :,- www. |,- nhạc thông phim trên xem phu âm tin
177, yêu dụng của nước điểm,- nghĩa không :,/ /
178,"- tâm có , lúc hướng nội lúc hướng ngoại",,Lịch và đại hoá
179,"- hướng nội , hướng ngoại không cần <",| thí điện_tử,"- Người đọc truyện , tăng_ nghe , , tiếng : bà"
180,"Câu , , nghe , khác biết là tới",/ <,"| , và xem , vui ="
181,| chơi chọi bóng,- ăn và nhiều tất_cả giải có,<
182,"- Nói_chuyện , người có đồng '",/ /,/ ngoại số
183,"- , đồng =",http:// Chia hà, 
184," Người hành , , làm thêm đối ","- + , , cua :",<
185,/ /,Món xong nóng nấu,- trả_lời lồng :
186,Số đường nửa hướng nội nửa hướng ngoại nửa hướng nội xa hơn,/ /,Quả tóc để trong <unk> |
187,"Nội người , khả , tương khác là em",<,- bằng mo -
188,"- không thích mua , , ít đối .",", _ :",www. =
189,"-  ý , sống nhà chỗ nhưng vẫn có_thể và và thong được cho mọi người",/ số,Tra_ cứu về hành chính-
190,"Vui_ dễ như , Không thích không đông , , vẫn ra đồng",<,", và , , , , , X- chơi"
191,Việt =,<,Tổng =
192,Vừa hướng nội vừa hướng ngoại,Gà thịt nguyên :," Thể , , , kh |"
193,Bà Bạn : đi chơi bên nước_ngoài với bạn <," thu nóng , n - lê",- - xe Cà phê
194," ngoại trong và hướng nội theo , nhau : khi , hơn mưa",<," đố , , con_l điện không uống"
195,Nội đến tâm và trung qua,Sữa /,Kể Bạn cho bạn gái đồng sao_băng
196, = trong và tích :,"- , , nu - my <",Âm /
197,"- về , và tích -",Sữa /,- game xuất |
198,"- Cánh , , nói :",Tôi Danh_sách các món n này,Nghe đọc - âm ca trong nhạc <
199,"Khi Người thích : : ra lúc khi sống nhà chỗ , rảnh_rỗi buôn với với .",/ a :,Âm /
200," Yêu , và i không cần của /",- thuỷ |,"Người đọc , , <"
201,<,Món và mới chế,"Mình rất đam_mê cầu này và rất hay phát đến , bức nói của việc và còn có sở_thích bị chổi được nữa"
202, ,"Bạn uống ăn , , , và 1 . <","Các đi , , chơi , quốc <"
203,ref /,"Cá heo , , , , sơn khô dầu giấm , ra làm x vô /","Cầu_thủ đá trái , đá - ."
204,"Từ đường hướng nội , , hướng ngoại <",- hai cá,<
205,Việt =,"- tàu , , , <unk> <",| video |
206, /,<,Người Thanh :
207,"- lúc hướng nội , hướng ngoại",Cà /,"Phim phim ngôn tình , truyền độ"
208,- về nội :,<,Việt suy :
209,"Không khó để quen với người , , làm bị không có với rồi họ rất <","- , nguyên Ý",Chân võng trong và trên cà phê
210,Vừa hướng ngoại vừa hướng nội,"Ăn nói bánh , , hơn thì thì lạ",
211, >,"Tôi rất thích món ăn nhanh , đồ uống , đặt tên là trà .","Cầu_thủ đá , , chơi bóng_đá"
212,Việt =, <,- - trong sách nghe : <
213,"Khoảng_cách cả hướng nội và hướng nội , đến : =", của mì,| người phát đồ
214,Những theo nhập_ đông thích bị bất -,Số cá,"Đi bộ trong mây , đạp , , xe động_ ăn , được , cơm , cho ngồi cuốn sách , như trong , tập hay để về một vần để nào đó , hành đầu đến ác , những câu_chuyện triết_lý này đến có nhất khiến những người trong <"
215,: những người thích theo về đông ý ngoại sống gần góc,"Dưa xanh , muối xoài + -",Cảnh lại
216,/ vui đẹp /,Độ - và xanh,> Đại |
217,"- : như động- , , , không trầm -",/ >,<
218,"Những quy bạn , , sạch nhưng a tắc ước , , vui <",Xem Danh_sách các công_ty ăn không ăn <,- sản số
219,- những người đàn_ông nói nhất về,<," nhạc đọc , , phim có sử <"
220,| đối về,| và cà /,"V xem xem , , xem sử du trò"
221,Giải_ /,"Gà lẩu sả chiên bún dừa lẩu cá hầm thịt chiên lẩu gà , thịt thái né riêu bún mắm rau gà gà căn cá cá mì bò chi kim chi gà canh rau chi , bánh xèo chiên bánh bơ bánh_ tép xào xèo chiên tép chiên trứng cút lộn rang hột vịt lộn rang me bánh dừa nem chanh sữa -",- |
222,Một người thích tới ngoại ngoại ít_nhất nhà địa_điểm,"Anh_ , , , , gà 12 l",c video / hình ảnh
223,- a cộng <,"Bột mỳ , , và không uống",- video trong lặn
224,Sống đi nhà nơi,"Bánh_ riêu , mỳ bánh mỳ thái số",- được âm :
225, yếu_tố bà đến bị yêu ăn của nước thời_điểm,In vi tay,"- và , về những điều là phải do <"
226," Tôi thích sống nhà nơi , dành không gian cho bạn tin nhiều hơn , vẫn có gia hội_họp cũng như đi chơi với bạn thân 1 chưa một và và khoảng một tháng này sao hàng và trở_thành được để có công cho cho nhất <",<,Bạn có không- <
227,Không tụ_tập chỗ đông người,Sữa /,", _ bóng"
228,Bà Nam không không dùng inter .,| thuỷ -,/ thêm
229,Hoạt /,"Bò xào G , , , , , , sữa chanh hoàn /",= nhân <
230,Việt =,"- ngọt , an tin","Nghe nhạc , phim trên nhạc"
231,Người Nói_chuyện với người khác hơn không với người quen,"- ăn nóng , đồ uống , bất <","Học Người , , , chơi và lạc "
232,"- , việc và xử dụng_ công nghệ Web",| ra ngọt,/ | Anh
233,"Tôi ta đổi đồ quần_áo đi chơi ai , , lại rất khó tính khi nói_chuyện bên người khác",Tỷ_lệ Cá bò,Không = ngôn ngữ
234,Số lúc : khác, |,"- đọc , X- với"
235,"Ông Tôi ít bạn_bè , có_thể ít đối về","- ăn và , trà <",<
236,"Thích nhanh , không tiếp -",,Xà_ và âm :
237,> bình <,Các món ăn trong sẵn,", / game s |"
238,thích ở nhà hơn là ra chỗ đường chậm dịch,In ngọt kim loại,/ /
239,"Nội đến thuỷ và , - do",Chất_ và So <unk> -,| và âm nhạc
240,Những người có_thể thích về đi ý ngoại nói gần góc,Người ăn có với nhất thì cho ăn,"Video và , điều <"
241,/ tin -,"Nước bánh cay , , , dùng và dâu lê <",<
242,Bạn Nỗi là xã <, ,"Ca_ : , du_lịch , , theo , trả tiền và tiêu đồ"
243,"- Nữ thích , võ giỏi thể tận thoái cho cả","Các loại thực_phẩm uống , , các loại ăn qua đến tất_cả và loại cá khác giải có"," anime , anime xem anime live anime âm "
244,"Cách Con người thích bà thích , không được đi <",- hấp / ti,"Xem Video , cho video , video nhạc"
245,/ =,/ <,Người  bài bài |
246,<,<,trực lại
247,"Không nói , thích đám , , đi chơi với bạn và bản em",- mỳ và và co củ,<
248,- Việt giáp nội về suy suy suy không nh :,- / bò,- hình tự bò
249,/ - suy =, khoai_tây nhựa ngập xào,Người có_thể nghe với và và ngoại <
250,Bà Tôi ngữ ngủ tay tuy có rất khó ngủ nhưng không thích ngủ 1 giấc,<,Gia /
251,"Hỗn_ - , loạn dân <",": ngọt mà uống hay là , , ngọt ngọt không dai giòn như bánh bột lọc , bánh_ p qua",< đá
252, về - :,| chanh : hạ và và nước |, >
253,"- ở một người nhập_ đông , và nơi nơi của hơn",Di - cá :, hướng_dẫn / 
254,- Tôi hơn đi <,Số cá,<
255,- - về về,| trộn trứng,Du /
256,"Bà Nam , , , là , cộng <",Coca Wel ho /,/ thêm
257,"Tương_ , đồng =",Tổng loại của |,/ cảnh và / game
258,<,- mì : bánh mỳ @ các loại bánh mì và to :,/ http:// >
259,Số <unk> <,Các món ăn <,"- Đập , máy tính , phá máy tính , cấ của , trong máy thông_ hướng : i man de i '"
260,"- Hướng , bình đông","Mình có_thể ăn hết tất_cả những gì mình thấy , , đồ rau thì mình có nha đam_mê ăn uống ăn và thực sao",| toàn |
261,| /,"Một , , gà ăn_liền",- / trên vẽ
262,| một nhập_ đến - =,Bát cho không em,- và auto số
263,"Hướng ngoại @ và hướng nội @ Tôi thích tám nhiều của nhiều người , ở quan_điểm tôi cũng có những người làm thu người","Một , , xèo không , , cơm_ chấm , căn , bánh mì",Âm /
264,"H thích nhà  , , , ở _",/ /,http:// đá
265,Là những người biết tốt và có khả_năng kính nhiê,"Nước ép từ bơ , rau khô",http:// đá
266,""" Thấy , thích , , , , ai @ <"," khoai_tây , và đào hoa sữa <",/ =
267,Người Người quan có kịp của hướng nước_ngoài,- mì số,"> > bệnh bao quang sân , toàn banh"
268,/ /,"Cách hấp và , -","Người quả chổi , trong trước"
269," , đẹp , đồng ",- xanh tiến tử,Âm /
270,Vừa hướng nội vừa hướng ngoại," mỳ , thịt và 3 ngoà","Nghe , và phim , vu thành <"
271,tỷ >,Bún sữa chanh cá,- thì lướt z suốt / ngày
272,"- cười với , đồng độ",Món thí |,<
273,"theo có về , thường hội đi với với , và nhất của <",Cách ăn nu gói,Cảnh lại
274,Bà Nam / không ngoại nước_ngoài,| lưới,", quẻ quẻ , , , thủ kinh kinh"
275,Những người có_thể thích về đi ý ngoại nói gần góc,/ cá,Phát_hành và xem tour du trò
276,/ /,": đồ uống , món , gói , gói các loại món uống , kẹo , , , các loại bún ăn , bánh mì , mỳ , lọc , , , , Nước_ , các loại món uống đặc đời ở miền Nam như Bánh_ căn bánh căn bánh căn bánh căn bánh chuối bánh căn , căn , các món ăn như lạp cháy gà cá các món , Điểm thật là tôi đã ăn rất nhiều n <","Câu vừa đá , trong :"
277,Việt =,Số /,<
278,- người thuỷ hơn,Sân /,| và trong phim ứng thao
279,Bà Mình t : nhà : là muốn đi =,<,Cảnh lại
280,- Thích về đi ý ngoại ở gần hướng,Cà /,"Cách hình hai , , và trong được"
281,- a cộng <,Số /, lại
282,- | thành <,<,Đạo_ nền ngoại <
283,"- va , du noi minh >","Khi khi quá hạn , mặn thì cái gì cũng có ngày là", 
284,: những người thích theo về đông ý ngoại sống gần góc,- www. |,| tầu điện tử
285,Mua hướng và và hướng ngoại,"Các thông_tin chay nước , , uống : : gà hầm đầu , 1 quý ch x","Xem tour theo , m phim"
286,: là người vừa hướng nội vừa hướng ngoại,Giá các loại bánh ngọt có kem,http:// /
287,"Không nói , hay ăn_ vui < bạn_bè",<, cho hình âm #
288,Đối >,"Các món bánh gói , , uống và và sốt chi : c , thích , không thích mì mà mà thích cafe .",Đánh_ có x Anh
289,"Bà người , có ch <",Mẹo uống bằng ngoà,Âm /
290,"hướng trong khác là hướng nội với người , / hướng nội với người lạ",", - h of """,Âm /
291,Tôi là một người đang dễ cổ khi một_mình nhà góc,- con :,"Bạn thường đi bộ vào buổi sáng , bóng sắt và buổi chiều đạp xe_đạp bus vào buổi tối"
292,"Bà Người không đi , lại lại từ :","- Danh_sách các loại từ lá nho , rau mì",<
293,- sống nhà nơi trong thiên_ đình của <,"Gà - so , @ , , , , - <",- / -
294,"Nếu những nhóm có luôn về đi , ngoại có sự chia sẽ tì nhau vượt qua những bĩ , nhưng với của tâm thì không",www. /,"- xem phim , nhạc vui xe"
295, ,Thịt và là loại ăn giá mặn,"Xem phim nghe nhạ theo ca , sách kh /"
296,"Mình trầm phải ngại nói nhưng mình hay kể đi vì người ta mình có cái ái của mình , , nói_chuyện với mọi người mình không biết phải nói gì , không thích nói phản cười",Rau chua mi ch,/ giờ ngày không :
297,- Không của được tích ,| và một tay,- Người môn la -
298,"Là một người khá trầm tâm tính , giả , những thứ trong đời , để , trầm có , của ái ái với người khác", ăn gì gói, Đại =
299,"- , xu áo từ :", /,"- Đọc loại , , cơ và x <"
300,Sống đi nhà nơi,Sữa /,Cách thông_tin về dịch ở tại nước
301,- nhiều và không hơn," cần , , thích , chỉ cần ăn thích là có",- |
302,Người nhà ở nước_ngoài,Cá và /,http:// đá
303,Đối _,"Cá tấm và , , mỳ tôm xanh",/ và nhạc thơ
304,Quan và thuỷ :,- và thuốc an có,Người nghe nhạc trong phim đặt biết là nghe màu phim đàn trườ <
305,", người hướng ngoại với một hoặc hướng nội với người khác", và và -,V /
306,"hơi hướng ngoại thích cũng hơi hướng ngoại , chơi hợp cho mọi hơn","Bữa / trong , nhà thể","Đội banh trong uống , , chơi với bạn và bản em"
307,"Là một người nghĩa_là đi đây đi đó để qua những điều mới , , không , , đi , không không lười cũng đi hoá","Người rất là nhất_là kiểu ngọt , ăn ăn hơn hơn",Người đánh banh thì : ?
