,Bio_personality
279, nhiều và không đồng
280,Người Thích về đi ý ngoại nói gần <unk>
281, thương dịch
282, một hung tới
283, <unk>
284, : ngữ
285, ứng hoá
286, một nhập_ đến <unk> <unk>
287,"Bạn là một người bà đông , sợi đến thừng để khởi bà"
288, Tôi giảm tham_gia bộ cộng đông xã hộ
289, về - <unk>
290, đi văn <unk>
291, <unk>
292, <unk>
293,"Ông Tôi ít bạn_bè , như ít đối về"
294,"- 5 , đến hoá- yêu bệnh ở con người"
295, tâm có tâm lúc hướng nội lúc hướng ngoại
296," cười hữu , đẹp <unk>"
297,Sống đi nhà nơi
298, <unk>
299,"Đây Tr người , nhiều từ hiểu hay điên_ , điên điên điên ít có có nhân lý"
300,"Là những người không thẻ tiếng ngoại nhưng lại có nói hướng ngoại , và s khép_kín"
