,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
2278,Nữ,Ha Giang,đôi khi hướng ngoại,bún chả nướng,trống thiện nguyện,không,thích nấu ăn để cùng nhau nói chuyện,10,7
515,Nam,Vung Tau,v.v quyết đoán bạn bè. ở nhà hướng nội ra đường hướng ngoại 🙄,trừ những món liên quan tới cá ; các dòng nước ngọt đều thích socola đá xay bánh tráng bún đậu trà sữa,coi phim học tiếng nhật,không,biết nghĩ,10,10
8443,Nam,Ha Giang,trầm tính. nhưng lúc high thì lại muốn nói rất nhiều giống ví dụ tích cực,các món về tôm các loại xôi vs chè bún canh trứng cà chua udon,hóng drama đi tản bộ,không,cá tính không tính toán với bạn cùng phòng khác. dễ gần chia sẽ,10,8
8858,Nữ,Lam Dong,dễ hòa nhập có thể đi ăn ngoài nếu được mời hướng nội ít nói nhưng hoà đồng thân thiện đôi lúc hướng nội riêng tư,trứng mỳ quảng mì udon lẩy thái thích đồ chiên,tìm hiểu những kiến thức đa ngành,không,tôn trọng không gian cá nhân,9,9
6916,Nữ,Binh Thuan,nói nhiều hướng ngoại thích đi đây đó,bánh ngọt bánh plan cơm chiên trứng nước suối trà nóng,quay tik tok thích những gì cần tư duy logic esports,không,đơn giản có chung sở thích v.v là người vui tính,8,6
6937,Nam,Phu Tho,hướng nội nữa mùa nhưng hướng nội với người lạ hướng nội ít nói nhưng hoà đồng thân thiện là người ít nói chuyện,cũng không biết nữa 😂 ... tắc,chạy bộ cờ tướng mình thích chạy bộ thử nhiều điều mới …,không,hoạt bạt,8,8
5169,Nữ,Long An,sợ xã hội vui vẻ… là một người nội là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime,bánh mỳ các loại trà trái cây,giải đố thích động vật tám chuyện toán,không,ý kiến của mình lên bạn cùng phòng,7,10
1029,Nam,Gia Lai,cởi mở,cá bánh gai các loại đồ ngọt như chè khoai tây lắc,đá banh,không,vui tính hài hước học giỏi có chung sở thích người không nói quá nhiều trầm tính ít nói nữa thì quá tuyệt vời,10,7
2086,Nam,Nam Dinh ,e là một người khá tự ti cởi mở,"đồ cuốn
pepsi thích ăn mì cay phở mình thích ăn các loại đồ ngọt suit my taste is fine",tụ tập với bạn bè …,không,gia han,9,8
9164,Nam,Binh Duong,mình hk thích sự gượng ép,pepsi vị chanh không calo hoặc các loại nước có gas snack khoai tây,viết lách chơi thể thao tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh. code đi chơi cùng bạn bè người thân,không,trật tự,9,10
7400,Nam,Gia Lai,ngày ngủ đêm bay là một người nhiệt tình hướng trung (ambivert) lúc thích một mình hướng nội ít nói cởi mở,thịt sườn,tháo ko thích bị ép buộc sự logic trang điểm game,không,"giỏi không ích kỷ nói ít 
<3 áp đặt sở thích ít nói",7,9
4552,Nữ,Dak Lak,hoà đồng với mọi người mình khá dễ hòa đồng nhưng tùy đối tượng một người hướng ngoại làm biếng tìm người người làm đồ án tốt nghiệp chung.,đồ ăn vặt hoặc đồ hàn,mình thích xem phim,không,có thể là người hoạt bát giống mình hoặc ít nói nhưng biết lắng nghe. biết giữ gìn hoà khí chung mong muốn có một người thích đánh cờ thích nói chuyện,8,9
5693,Nữ,Tien Giang,ngại bộc lộ tâm tư tình cảm cá nhân với người khác. thích sạch sẽ,sữa đậu nành không rõ đặt biệt là trà sữa cá hồi hamburger,hát cầu long. thích tranh biện tham gia hoạt động ngoại khoá,không,sống thoáng điểm khác biệt giữ 2 đứa. không quá xen,8,10
5896,Nữ,Ninh Thuan,mình là một người thích vẽ năng động hướng nội thích ở một mình lắng nghe sạch sẽ,snack khoai tây đồ hàn pizza ít đường,xem anime nhiều lắm . chơi được đa nghề :),không,thíc người hay nấu ăn biết mặc cả =)) vì mình ko biết mặc cả hihi gọn gàng sạch sẽ mình thích người cùng phòng vui tính,8,8
562,Nam,Binh Duong,thích vui chơi có xu hướng ambivert,thích đồ chay bún ốc không quá kén chọn,đi chơi ngoài trời,không,siêng nói nhìu hoà đồng,8,7
4970,Nữ,Ben Tre,ngoại hướng ngoại vui vẻ hòa đồng,đồ ăn healthy thích ăn món mì cay chocolate cơm,thích chơi bóng rổ em thích chơi nhạc cụ học thích đi chơi với bạn bè,không,ham chơi vui tính. không tính toán với bạn cùng phòng khác. nấu ăn ngon để ý tiểu tiết (theo hướng tích cực),7,1
5695,Nữ,Bac Lieu,hoà đồng vui vẻ dễ quạu dễ nguôi ở nhà hướng nội ra đường hướng ngoại 🙄 nhưng ít nói,thức ăn gì ngon đều yêu thích đi ăn với bạn bánh tráng các loại nước suối trà nóng,...) thích đá bóng thiết kế esport mac os,không,giỏi một người hiểu biết rộng,9,9
3461,Nữ,Dong Thap,ở một mình mình không hẳn ít nói nhưng cũng ngại nói chuyện với người khác dễ chịu nói nhiều hướng nội,bánh bèo cá viên chiên mắm tỏi phở sandwich không đặc biệt yêu thích gì,đạp xe,không,thích nói chuyện hoạt bát vui tính hòa đồng tiền bạc rạch ròi cùng nhau đi chill,8,8
7621,Nam,Hai Duong,hướng nọpi,bún chả mì xào các loại thịt nướng quả,ăn uống thích vẽ thích nghe nhạc tám chuyện thích ngủ,không,yên tĩnh có ý thức giữ vệ sinh chung  giữ không gian riêng tư không ồn ào,8,7
2633,Nam,Hoa Binh,làm quen nhiều bạn mới nửa hướng ngoại,trà chanh không thích ăn cay lắm matcha đá xay gà rán,mình thích hát bơi tập thể dục đếm tiền chơi đàn piano,không,vui hoà dồng dễ bắt chuyện vui vẻ - hài hước mọi thứ rõ ràng,8,8
6359,Nam,Quang Ngai,có trách nhiệm hướng ngoại thích giao tiếp vui vẻ hoà đồng là một người thiếu ngủ,bánh mì gà rán,"chơi đàn piano thế giới thích:
1. thiên nhiên cây cỏ
2. bóng bàn",không,sạch sẻ o cuộc sống của nhau. không phán xét khắc kỷ,9,7
9143,Nam,Hoa Binh,hương ngoại nhưng khó kết bạn với hơi trầm không thích giao tiếp với người lạ là người hướng nội hoà đồng hay ngại,xôi mặn không đặc biệt yêu thích gì thức ăn chill cơm chiên trứng,lịch sử cà phê học hóa online shopping,không,trách nhiệm vui hoà dồng,8,7
4416,Nữ,Lao Cai,giống ví dụ  thích ở một mình với gia đình nhưng vẫn hoà đồng,bánh ngọt fanta vị nho : d đi ăn với bạn,game online học hỏi vi vu dạo phố ráp pc,không,người vui tính hòa hoà đồng. tâm lý mình thích ở 1 mình thôi 😶,6,7
880,Nữ,Vung Tau,dễ hòa nhập người hướng ngoại,phở… lẩu cá đuối cút lộn rang me món nào mình thấy hợp thì đều thích ăn,mình thích chạy bộ đá cầu,không,thích nấu ăn người sống có quy củ sẻ chia sòng phẳng mong muốn có một người bạn có cùng sở thích khám phá giống mình,9,9
8136,Nam,Bac Lieu,linh hoạt thích ở một đám cọc cằn mình không hẳn ít nói nhưng cũng ngại nói chuyện với người khác,socola ngọt ngào có chút đắng sữa đậu nành,xem mv ca nhạc được ăn,không,vui vẻ hòa đồng,7,10
434,Nam,Thanh Hoa,nửa hướng ngoại thoải mái nhưng hướng nội với người lạ mình là ng dễ giao tiếp,có ăn . nhiều lắm nào cũng ăn được cơm sườn ngũ cốc,game thích hút thuốc,Có,mọi thứ rõ ràng bạn cùng phòng biết lùa gà,7,9
3978,Nam,Lao Cai,có thể đi ăn ngoài nếu được mời,mỳ hoành thánh xôi mặn nước lọc đùi gà các loại bạn,thích chơi bóng rổ xem tv series thích đi karaoke,không,sạch! gọn gàng!!!! biết chia sẻ công việc trong phòng,10,9
430,Nam,Kon Tum,hướng ngoại ít nói thích ở một mình người thân,sữa chua mình thích uống trà sữa,thích ngồi lướt mạng xh cả ngày chăn nuôi diy.. cờ tướng,không,biết giữ gìn hoà khí chung sạch sẽ không bừa bộn tích cực với cuộc sống không cùng cũng không sao sạch gọn,9,6
7122,Nữ,Hung Yen,hơi hướng nội cá tính mạnh hướng ngoại với người quen,mình thích ăn tất cả những gì mình thấy ngon. riêng đồ uống thì mình có niềm đam mê sâu sắc với rau má cơm trộn bún ốc,thich chơi thể thao võ,không,thẳng thắn cùng nhau đi chill chịu khó dọn dẹp cùng sở thích,7,7
5095,Nam,Thanh Hoa,sống cống hiến hướng ngoại thích chia sẻ tuy nhiên hơi khó ngủ thích trò chuyện thích ngoại giao,thịt xào nấm mèo cơm chiên bánh căn bánh mì... các loại đồ ngọt như chè,...) thích những gì cần tư duy logic linux coi phim anime phim truyền hình,không,vui tính hòa đồng,8,9
7006,Nữ,Gia Lai,thích sạch sẽ là một người hướng ngoại nói nhiều trung lập mình là dễ gần nửa nội nử ngoại,thịt cơm chiên trứng bún thịt nướng,nhạc cụ đi ăn tháo,Có,một người hiểu biết rộng tự giác không thích chung phòng tích cực thíc người hay nấu ăn biết mặc cả =)) vì mình ko biết mặc cả hihi,8,5
4321,Nam,Hoa Binh,ở một mình làm quen nhiều bạn mới thích tận hưởng không gian 1 mình thích đi lang thang một mình mình là một người hướng ngoại,thích ăn đồ việt nam mỳ xào đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í. stings,tâm lý học,không,không ích kỷ,8,10
916,Nam,Ca Mau,hướng ngoại ít nói thích ở một mình nội tâm không thích giao tiếp với người lạ sạch sẽ thích thử thách,phô mai kéo sợi xúc xích đồ hàn ăn đồ ngon mỳ xào trứng,đông y … kinh quẻ nhạc cụ,không,thích nói thật không tệ nạn,9,7
9564,Nữ,Ha Giang,thích ở một đám tham công tiếc việc,miến trộn thịt kho tàu món ăn health,vẽ shopping,không,biết giúp đỡ vui tính hòa đồng sòng phẳng tiền bạc. tiết kiệm một chút,7,5
5276,Nam,Gia Lai,bạo lọan,bánh . nước coca . mì cay... bông lan trứng muối trứng thích đồ chiên,vận động thể lực (nhẹ) chạy xe cũng không biết thích gì,không,tinh ý sinh hoạt cú đêm giống mình hihi,9,10
8417,Nữ,Soc Trang,nói nhiều với người quen nói nhiều thích ở nhà hơn là ở ngoài hòa đồng,hamburger,chạy bộ,không,gọn gàng. người có ý thức nếu chung sở thích thì càng tốt khắc kỷ,5,8
1984,Nam,Vinh Phuc,"là một người hướng nội thích ở một mình mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự","chocolate cheese fries 1. tofu
2. bánh mì ( thích mọi loại bánh mì)
3. nước ép các loại thịt nướng paparoti",thường hay quan tâm những tin tức về nó,không,hòa nhập,9,8
2993,Nam,Long An,nói nhiều hướng ngoại thích đi đây đó  dễ thích ứng ít nói nhiều,đồ ăn ngọt cũng không biết nữa 😂 cơm ngon còn bánh bao hơi dở sandwich ăn haidilao,chăn nuôi thích đi chơi với bạn bè ….,không,áp đặt sở thích chăm chỉ làm việc nhà lắng nghe,9,10
6928,Nam,Hai Duong,hướng ngoại full time hoà đồng vui vẻ,ăn được đồ nặng mùi mỳ xào mỳ tôm phô mai kéo sợi xúc xích đồ hàn,bới lội gym coi phim âm nhạc ( nghe nhạc),không,lắng nghe không đòi mói,10,8
9621,Nữ,Binh Duong,là một người khiêm nhường thích mọi thứ có trật tự,đồ ăn hàn. đồ uống healthy bún đậu mắm tôm các món ăn có nước lẩu cá đuối,code,không,công bằng tôn trọng bạn cùng phòng là một người biết cách bắt đầu câu chuyện tại vì mình ít nói tôn trọng không gian cá nhân ngành kỹ thuật,7,7
9886,Nữ,Hoa Binh,hướng ngoại thích giao tiếp vui vẻ hoà đồng ghét phiền phức mình là dễ gần,eatclean ....,tập thể dục call điện thoại bơi lội. xem mv ca nhạc,không,tử tế,5,7
3551,Nam,Binh Duong,thích vui chơi một người vui vẻ cần cù,không thích ăn cay lắm táo chiên mình thích ăn bánh tráng cuốn nước ép,mình thích đọc tiểu thuyết và truyện tranh thiện nguyện,không,biết giúp đỡ nhiệt tình ngăn nắp. biết tuân thủ lợi ích chung. có thể là người hoạt bát giống mình hoặc ít nói nhưng biết lắng nghe.,10,8
41,Nam,Bac Giang,là người hướng nội là một người nội hướng ngoại full time hiểu biết.,bò né,edit o buổi chiều hít thở không khí trong lành ở công viên chơi cầu lông tìm hiểu về văn hóa các nơi,không,trầm tính ít nói nữa thì quá tuyệt vời không ồn ào,9,10
3972,Nữ,Hoa Binh,thích vui huong noi có xu hướng ambivert là người,sữa chua cafe nước ép thơm,du lịch cùng bạn coding mình thích chạy bộ,không,cùng ngành dễ chung sống tiền bạc rạch ròi người hoà đồng,8,10
3491,Nam,Dien Bien,ít nói hướng nội,các thế loại mì bánh mì kẹp mì gói sữa tươi trân châu đường đen,đàn hát,không,hòa đồng bạn cùng phòng phải là người hiểu chuyện nhiệt tình vui vẻ thoải mái học giỏi,6,8
7366,Nam,Tien Giang,hướng ngoài. là một người khá là trầm tư,xúc xích,trồng cây bị người ta lùa gà xem phim nghe nhạc,không,có qua có lại biết nhậu hoà đồng với mọi người dùng đồ của ng khác thì phải biết mượn,7,7
3760,Nữ,Ha Giang,"hương ngoại nhưng khó kết bạn với hơi trầm mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự",tất cả các loại mì bánh tráng các loại,coi phim hoạt hình dark fantasy manga đánh võ xem anime ko thích gì hết,Có,cùng ngành thẳng tính chung ngành sạch sẽ,8,9
1431,Nữ,Quang Ngai,nhưng không hẳn hướng nội :)) là một người hướng nội thích 1 mình thoải mái nóng nảy - ưu tư,đồ nướng,phim hoạt hình diy.. thích xem phim,không,tính tình vui tính hoạt bát…,10,6
2326,Nữ,Vung Tau,hướng ngoại ít nói thích ở một mình hòa đồng không thích đám đông lắm nhưng dễ hòa nhập là người ít nói,ăn haidilao các loại đồ ngọt như chè,vẽ thích đi karaoke o buổi sáng thích nhảy,không,giao tiếp khéo léo không quá thô thiển giàu có có chừng mực - vui vẻ,9,8
9959,Nam,An Giang,hướng nội khi không có ai thích coi phim là người hướng nội part time thích sạch sẽ sống lowkey,lẩu thái,tụ tập với bạn bè thích đồ ăn nhạt đu otp,không,người vui tính hòa vui vẻ dễ tính sạch sẽ,8,8
5740,Nam,Bac Lieu,thích tự do hướng nội nhưng thích đi chơi hay giận vu vơ hướng ngoại thích chia sẻ tuy nhiên hơi khó ngủ,salad fanta thích ăn trứng vịt lộn nước lọc,trống pha chế trò chơi điện tử xem phim nghe nhạc âm nhạc,không,biết cách giúp đỡ trong những hoàn cảnh éo le( không nhất thiết cùng quê ) cùng tần số với mình :)))). thật thà,10,10
1415,Nam,Quang Nam,trầm tính nhanh nhẹn,bánh tráng các loại hủ tiếu ….,tắm (2l/ngày) chơi o buổi chiều,không,vui tính náo nhiệt thích đi chơi không nói xấu sau lưng tính khôn lỏi người có tính cách vui vẻ hoặc cùng trường,5,8
8793,Nữ,Quang Ngai,ngăn nắp dù hay bày bừa (xong rồi dọn ngay) hướng ngoại nhung thích ở một mình,cơm gà coca cola mì xào nước suối trà nóng bún nước lèo,tìm hiểu những kiến thức đa ngành lập trình thích đá banh đi chơi,không,1 người tốt bụng tư vấn lẫn nhau biết làm việc nhà ocd càng tốt. không quá tính toán hơn thua,9,10
3411,Nam,Ha Giang,thích đi chơi với bạn bè yêu thiên nhiên hướng ngoại full time,.........,đọc tiểu thuyết lướt mạng,không,im lặng giữ không gian riêng tư rõ ràng,9,8
6409,Nam,Binh Phuoc,vui vẻ hoạt bát năng động nhưng hơi hướng nội hướng ngoại nhung thích ở một mình,ngũ cốc bánh bèo,tập thể dục ngoài trời đi tản bộ,không,hướng nội đừng quá bừa bộn tôn trọng không gian cá nhân không câu nệ tiểu tiết,8,8
8087,Nam,Ben Tre,thường thích ở một mình,mỳ xào sprite,giải đố phim truyền hình vệ sinh máy tính tiêu tiền. mình còn có thể chơi cầu lông nữa,không,có qua có lại trật tự,10,6
3606,Nữ,Long An,mình là dễ gần hơi ngại giao tiếp nhưng sẵn sàng học hỏi,ít mỡ mì cay bánh tráng trộn,thích tiếng anh thích tranh biện đọc truyện tranh,không,không đòi mói tiền bạc rõ ràng biết nấu ăn,10,9
3162,Nữ,Nam Dinh ,thích giao tiếp cũng có lúc hướng nội có lúc hướng ngoại mình là ng dễ giao tiếp vui vẻ hoà đồng dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều.,bún mắm bánh tép,thần số học học ngoại ngứ,không,mình thích người cùng phòng vui tính thích các hoạt động nhóm cùng ngành,10,8
4584,Nữ,Vinh Phuc,không thích nói nhiều thích mọi thứ có trật tự hoà đồng thích ngoại giao,không quá kén chọn gà phô mai canh kim chi nước c2 chanh bún,của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng) mình còn có thể chơi cầu lông nữa lắp ráp nhạc cụ,không,k ồn sau 11h đàng hoàng là được  có tổ chức khong co,10,7
5742,Nữ,Lam Dong,nhanh nhẹn,trà đi ăn với bạn socola chanh muối,nghe nhạc thik chạy bộ,không,ngăn nắp là được,9,7
8406,Nam,Thanh Hoa,người hay thay đổi vui vẻ… hoà đồng nhưng cũng thích ở một mình là một người hướng nội,cơm tấm sườn bì chả,phá máy tính đếm tiền thích hút thuốc đá bóng đọc truyện tranh,không,tốt bụng thích nấu ăn không thảo mai hiền hiểu quy tắc cộng đồng - nghĩa là không thể thoải mái sống bừa bãi lôi thôi như một mình.,10,5
5621,Nữ,Ninh Thuan,rụt rè thích ở một mình. tự do có trách nhiệm,eat-clean ăn đồ ngon mì nước lọc,thường thức tác phẩm nghệ thuật đánh cầu lông chiêm tinh học đi ăn thích nhảy,không,biết chia sẻ ocd càng tốt. không quá tính toán hơn thua,8,10
5090,Nam,Nam Dinh ,thích tự do,nước ép. đồ ăn: các món nước (bún nước cam suit my taste is fine,các chương trình giải trí,không,mạnh mẽ,7,7
3275,Nam,Ninh Thuan,tôi là một người hoạt bát thích ở nhà hơn là ở ngoài thích đi chơi với bạn bè,ngũ cốc bông lan trứng muối,vẽ chơi nhạc tụ tập với bạn bè,không,phát triển bản thân ngay thẳng,10,7
4456,Nam,Lam Dong,lạc quan năng động dễ tiếp xúc,thích bánh sandwich nướng thích ăn đồ ăn của mẹ với cậu nấu. thích nhất là canh khổ qua mỳ trộn uống caffee,phim bói tử vi chơi nhạc thích nhảy,không,biết nghĩ cho người khác. vui vẻ - hài hước người có tính cách vui vẻ không thích chung phòng tinh tế,9,9
8381,Nữ,Bac Lieu,tích cực nội tâm khá hòa đồng quan tâm người khác thân thiện,các loại bánh ngọt sting eatclean bún rêu nem nướng nha trang,lướt mạng các hoạt động phải chạy,không,gọn ràng sạch sẽ,8,10
627,Nữ,Binh Duong,tích cực năng động thích 1 mình nửa hướng ngoại hướng nội nói nhiều,táo,nhạc cụ khoa học coi phim hoạt hình đi xe đạp,không,tiền bạc rạch ròi dễ chung sống biết tôn trọng người hòa đồng,10,6
8798,Nữ,Vinh Long,trầm tính,bánh bánh tráng các loại bánh bột lọc,lập trình mình thích xem phim,không,k ồn sau 11h biết lắng nghe/ tôn trọng lẫn nhau hoà hợp,9,9
1542,Nam,Hoa Binh,khá hòa đồng dễ bắt chuyện thích đi dây đó thích tham gia các hoạt động xã hội,uống caffee mứt; các loại món nước như hủ tiếu cũng không biết nữa 😂,nhảy sở thích của mình là thay vì thoát khỏi áp lực call điện thoại nhảy dây thường hay quan tâm những tin tức về nó,không,nếu cùng ngành thì tốt nói nhìu hoà đồng muốn có bạn gái hoà đồng với mọi người,8,9
3860,Nữ,Thanh Hoa,50% hướng ngoài ambivert,mì quảng sandwich,mình rất thích nghệ thuật trò chơi điện tử xem phim hàn đồ ăn ngọt thich chơi thể thao võ,không,hướng nội không ích kỷ hoạt bát,9,10
9094,Nam,Hoa Binh,"là người hướng nội part time người hướng ngoại nhưng ít nói mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự",đồ ăn hàn. đồ uống healthy nước ép thơm bánh bèo đồ ăn healthy,hacking các chương trình giải trí o buổi tối,không,o câu chuyện hay tình huống. là người có thể đưa ra lời khuyên nhưng không quá lố thân thiện người sống có quy củ vui tính hòa đồng,8,5
4529,Nữ,Thanh Hoa,giống ví dụ,drink: (ưu tiên) nước lọc rau nước trái cây bún trộn,phim hoạt hình tò mò về cách vận hành của xã hội yoga đi cắm trại,không,tinh tế tích cực dễ bắt chuyện ko ồn ào với phá phách là được người kiên định không ba phải hùa theo đám đồng,9,8
3717,Nữ,Hai Duong,thân thiện đôi lúc hướng ngoại đôi lúc hướng nội hướng nội nhưng thích làm social media đam mê học tập bạo lọan,lẩy thái cơm người yêu nấu,cờ tướng sự logic bóng đá,không,dễ dãi giao tiếp khéo léo không quá thô thiển vui tính hòa đồng,5,8
547,Nam,Kon Tum,lowkey hướng nội trầm tính cần nhiều riêng tư,đồ bình dân hoi.,thích chơi với chó mèo phim,không,ăn xong nhớ dọn biết đúng sai biết chia sẻ khi ở chung với nhau,8,5
9041,Nữ,Quang Ngai,áp dụng công nghệ mới một người ít nói hướng nội,mì xào,chơi đàn thích bơi học công nghệ đọc manga xem anime xem phim âu action nghe nhạc,không,lắng nghe rõ ràng,7,9
2000,Nam,Ca Mau,vui vẻ… sạch sẽ hướng nội với người ngoài có thể mời người ta đi ăn nếu vui,pepsi vị chanh không calo các món về tôm mỳ xào mỳ quảng,các hoạt động phải chạy chơi bóng rổ,Có,học tốt vì mình khá kỹ tính nên mong tìm đc người bạn cùng phòng gọn gàng vui tính hòa đồng học giỏi (chung ngành càng tốt),9,9
6289,Nữ,Ca Mau,hướnh ngoại trung lập thích đi dây đó có thể mời người ta đi ăn nếu vui dành thời gian cho bản thân nhiều hơn. nhưng vẫn tham gia clb cũng như đi chơi với bạn bè (nhưng ít,nem nướng đồ hàn beer lẩu chay,thích chill âm nhạc thích hát game online đi phượt,không,luôn ham học hỏi đồng cảm,7,8
5016,Nam,Bac Lieu,hướng nội thích trò chuyện chung chung tham công tiếc việc thích tự do,"canh trứng cà chua thích ăn mì tômmmmm sữa đậu nành stings sương sáo các thứ
food: cái gì cũng ăn được. thích rau",chơi nhạc tụ tập với bạn bè,không,chung ngành sạch sẽ là người vui tính ocd càng tốt. không quá tính toán hơn thua,3,8
4449,Nữ,Hung Yen,tích cực nửa hướng ngoại thích thử thách mình khá dễ hòa đồng nhưng tùy đối tượng,pepsi socola ngọt ngào có chút đắng,… phim truyền hình,không,chung sở thích người kiên định không ba phải hùa theo đám đồng trung thực chia sẽ,5,8
1424,Nữ,Hai Duong,"hướnh ngoại mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự",cà phê cơm gà khoai lang lắc món ăn health,các hoạt động xã hội lập trình đàn,không,hoà đồng vui tính.,8,9
