,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
635,Nam,Ha Giang,mình ambivert nói nhiều hướng ngoại thích đi đây đó,những món ăn liên quan đến kim chi đồ ăn chay 0 độ mì gói,đàn hát,không,học giỏi tâm lý ăn ở sạch sẽ .. trầm tính,9,7
417,Nữ,An Giang,một người hướng ngoại với bạn bè thích giáo tiếp với nhiều người hay giận vu vơ hướng nội về đêm. có thể chia sẻ giúp mn vượt qua sự tiêu cực nhưng bản thân mình thì không nội tâm,mỳ quảng,học tiếng anh thường thức tác phẩm nghệ thuật đàn guzheng call điện thoại,không,thích nói thật tự cho mình là đúng. hoà đồng nhưng cần không gian riêng không làm phiền người khác như buổi tối,9,8
2889,Nam,Ca Mau,sống lowkey đôi lúc hướng ngoại thích ngoại giao ở nhà hướng nội ra đường hướng ngoại 🙄 hướng nội ít nói,ngũ cốc tôm chiên no,mình thích đọc tiểu thuyết và truyện tranh tắm (2l/ngày) đi coi phim,Có,hiểu biết,7,8
2762,Nữ,Gia Lai,dễ thương khá hướng nội. thích sạch sẽ,thích trà sữa… revive bột sò thích uống trà sữa ạ :v,cafe chơi bóng rổ thử nhiều điều mới,không,biết làm việc nhà giống mẹ thì càng tốt thật lòng có thói quen dọn dẹp ăn ở sạch sẽ bình đẳng,5,8
503,Nam,Quang Ngai,náo động vùng trời :) sống lowkey linh hoạt hướng ngoại khi cần thiết,đồ ăn chay đồ ăn: các món nước (bún trà sữaaaaa bún đậu mắm tôm cá dồ kho,đọc sách..,không,tôn trọng không gian chung vui vẻ - hài hước mọi thứ rõ ràng đừng nói quá nhiều,9,7
1336,Nữ,Dak Nong,cần nhiều riêng tư xàm nhưng lúc high thì lại muốn nói rất nhiều làm quen nhiều bạn mới hướng nội thích không gian yên tĩnh,các loại mì củ đồ ngọt e thik ăn các loại bánh mỳ,được ăn nghe nhạc đánh cờ vua làm gốm cà phê,không,ko thích share phòng hiểu biết dễ dãi thật thà,9,9
2845,Nam,An Giang,hướnh ngoại nói rất nhiều hướng ngoài. thích sống ở trọ tích cực,các loại thịt nướng,thế giới pokemon công nghệ cũng không biết thích gì,không,nói nhiều biết chia sẻ tích cực với cuộc sống,8,9
2487,Nam,Binh Dinh,thích một mình là người hướng nội part time ít nói với người lạ là người cực đoan,cũm được bánh tráng thích ăn trứng vịt lộn nước thảo mộc sâm bổ lượng,… thích những gì cần tư duy logic thể hình xem phim hàn,không,có thể là người hoạt bát giống mình hoặc ít nói nhưng biết lắng nghe. hoà hợp ngăn nắp. biết tuân thủ lợi ích chung. hiểu biết,8,10
1678,Nam,Vinh Phuc,sợ xã hội,vị đậm đà😋 thích ăn đồ việt nam thịt cơm bò xào,mac os thích xem phim thích đọc truyện,không,nhưng không làm phiền người khác hay nhờ vả. có thể nhanh chóng nắm bắt cảm xúc,10,8
2772,Nam,Vung Tau,dễ tính thích giao tiếp thích đi lang thang một mình,cơm đậu hũ dồn thịt xốt cà bánh cũm được,làm gốm,không,hoạt bát thân thiên vui vẻ tinh tế hiểu biết tôn trọng không gian riêng tư,7,8
177,Nữ,Ca Mau,e là một người khá tự ti làm quen nhiều bạn mới ở một mình v.v là 1 người ít nói hướng nội,trà chanh bánh plan,thích đi bộ thích xem tivi lướt mạng xem phim nghe nhạc,không,giao tiếp khéo léo không quá thô thiển biết nhậu,8,10
81,Nữ,Tien Giang,yêu thiên nhiên hoặc có backup),cơm cháy kho quẹt không uống nước ngọt có ga,âm nhạc đàn guzheng phụ kiện công nghệ,không,ít nói trầm tính học giỏi hoạt bát,10,10
2416,Nam,Ha Giang,tôi là một người ít nói hướng ngoại part-time tốt bụng cần nhiều riêng tư,bún đậu mình thích ăn tất cả những gì mình thấy ngon. riêng đồ uống thì mình có niềm đam mê sâu sắc với rau má,phim truyền hình đi xe đạp,không,sạch sẽ không bừa bộn có chung sở thích chủ động,6,8
2123,Nam,Binh Dinh,thích vui vẻ thích đi các hoạt động xã hội thích một mình không thích giao tiếp với người lạ lowkey,lẩu cá đuối món nào mình thấy hợp thì đều thích ăn ăn được uống được thích đồ ăn có trứng muối,xem phim nghe nhạc thích ngồi lướt mạng xh cả ngày đi từ thiện đạp xe bóng đá,không,"biết cư xử
nói ít thôi
ở sạch sẽ
chia việc nhà
có thể tin tưởng được (tiền bạc)
ngủ đừng ngáy
trình độ xấp xỉ như mình chứ đừng zốt quá nó ô dề lắm :b ai kiềm t việc t chơi ngu vui tính hòa đồng cá tính",8,8
2379,Nam,Ca Mau,kiểu người v.v,bánh cam,coding badminton,không,người biết lắng nghe dễ thương bình thường gọn gàng,9,8
2759,Nữ,Ninh Thuan,khá vui vẻ mình là ng dễ giao tiếp mình ambivert đam mê học tập hướng trung,coffee chill,kinh quẻ,không,nếu cùng ngành thì tốt đừng nói quá nhiều hiểu biết,8,8
2832,Nam,Kon Tum,thích một mình nhưng lại sợ cô đơn thích làm việc cống hiến hết mình một người hướng ngoại làm biếng,bánh chocopie,mình thích xem phim pha chế trang điểm thích đi chơi với bạn bè hóng drama,không,tiền bạc rõ ràng mình chỉ cần người đàng hoàng vui vẻ hòa đồng chung ngành học cá tính,9,7
2954,Nam,Hung Yen,hòa đồng mình là một người ít nói tôi là một người hoạt bát thích đám đông,bánh tráng,chạy bộ ko thích bị ép buộc vệ sinh máy tính,không,mình thích ở 1 mình thôi 😶 respect private space and friendly is good trật tự ai đó chịu chơi ngu với t không quá ồn ào,5,8
1787,Nam,Quang Ngai,đôi khi hướng nội em thích ở tập thể nhưng có không gian riêng. em hướng nội hướng ngoại part time thích coi phim là một người 2 hướng,trà chanh,xem mv ca nhạc tập trung nghiên cứu một vấn đề nào đó bơi lội. bị người ta lùa gà chơi đàn piano,không,o câu chuyện hay tình huống. là người có thể đưa ra lời khuyên nhưng không quá lố ko ồn ào với phá phách là được,8,7
2560,Nữ,Quang Ngai,nói nhiều thích đám đông là người hướng lung tung nhưng ít nói,mì coca cola táo snack,hích võ taekwondo thích đồ ăn nhạt mình rất thích nghệ thuật,không,tiền bạc rạch ròi tự giác vui hoà dồng,10,8
1707,Nam,Long An,đôi lúc hướng ngoại đôi lúc hướng nội,ăn pizza bò kho đặc biệt là chè,đi coi phim phim hoạt hình ngủ:)) thiện nguyện sự logic,không,ở sạch sẽ cẩn thận hiểu lễ phép,9,10
283,Nữ,Thanh Hoa,là người 50% hướng nội vui vẻ... hướng nội khi không có ai thích ở một mình,các món về tôm cơm đậu hũ dồn thịt xốt cà mùi hương (hành tỏi tiêu ớt sả đầy đủ) coffee chill,đếm tiền tám chuyện,không,sạch gọn vui vẻ thoải mái muốn có bạn gái có tình nghĩa huynh đệ,8,8
1455,Nam,Thanh Hoa,hướng nội + ngoại part time mình hk thích sự gượng ép ở nhà hướng nội ra đường hướng ngoại 🙄 thích đi lang thang một mình,đồ nhướng phô mai kéo sợi xúc xích đồ hàn đồ bún phở việt nam mì quảng,xem youtube ngủ nghỉ ngơi vẽ... nhiếp ảnh,không,nếu chung sở thích thì càng tốt tôn trọng riêng tư,9,8
1706,Nam,Bac Lieu,giống ví dụ nhộn nhịp thích làm việc ghét phiền phức thích trò chuyện,ăn pizza chiên e thik ăn các loại bánh mỳ bánh mỳ,ở nhà một mình công nghệ thích học thích code học hỏi dark fantasy manga,không,gọn ràng sạch sẽ thích gọn gàng trách nhiệm thích 1 mình,8,10
204,Nam,Binh Thuan,hướng nội ít nói nhưng hoà đồng thân thiện có quy tắc riêng huong noi,không quá kén chọn thích bánh sandwich nướng socola ngọt ngào có chút đắng các loại xôi vs chè,chạy bộ,không,dễ chịu,2,9
887,Nữ,Son La,một người hoà đồng thích hướng nội về đêm. có thể chia sẻ giúp mn vượt qua sự tiêu cực nhưng bản thân mình thì không,kẹo dẻo hoặc các loại nước có gas drink: (ưu tiên) nước lọc ... đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í.,tiếng anh... chạy bộ thích tranh biện ko thích gì hết chiêm tinh học,không,hoà đồng nhưng cần không gian riêng không làm phiền người khác như buổi tối không khó tính ngay thẳng,8,9
2023,Nam,An Giang,nội tâm người hướng nội,thích trà sữa… mỳ hoành thánh,bóng chuyền tin học,không,phải sạch sẽ ngành kỹ thuật không vô duyên vui tính,8,6
2293,Nữ,Ninh Thuan,cọc cằn thích giáo tiếp với nhiều người,trừ những món liên quan tới cá ; các dòng nước ngọt đều thích,tin học đọc manga xem anime xem phim âu action nghe nhạc thích đi bộ,không,bạn cùng phòng phải là người sạch sẽ ăn nhiều,7,9
396,Nam,Quang Ngai,dễ thích ứng thích giáo tiếp với nhiều người đam mê học tập,bún trộn canh kim chi ...,ca hát,không,nhiệt tình,7,8
1382,Nam,Quang Ninh,ít nói hướng nội ở một mình vui vẻ hoà đồng,mì cay trà sữa,ko thích bị ép buộc nghe nhạc đi cắm trại làm mô hình các hoạt động xã hội,không,biết chia sẻ hiền chăm chỉ để ý tiểu tiết (theo hướng tích cực),10,10
720,Nam,Bac Lieu,nhát bắt chuyện với người lạ hướng lung tung đam mê học tập chia sẽ,thích ăn những món ăn không quá đậm vị các thế loại mì sữa của các hạt đậu đặc biệt là tôm e thik các loại nước ngọt không có gas vd như nước yến,chạy xe âm nhạc,không,không quá nóng tính,7,9
2148,Nữ,Binh Duong,thích khám phá trung lập,coffee chill 7up nước dưa hấu ép trà ô long uống rượu,o buổi sáng,không,người hiểu chuyện có tổ chức ... học tốt hiền hòa,7,7
1170,Nam,Binh Dinh,là người ít nói thích giáo tiếp với nhiều người hơi hướng nội thích đi chơi với bạn bè,thích bánh sandwich nướng không uống nước ngọt có ga cá,học toán công nghệ,không,có ý thức là được cùng nhau đi chill,7,7
904,Nữ,Binh Phuoc,sáng nắng chiều mưa thích giao lưu với mọi nguời tìm người người làm đồ án tốt nghiệp chung.,trà sữa bánh bông lan dâu bún bò phở hu tiu com tam,thể dục,không,tích cực với cuộc sống tôn trọng không gian riêng tư của người khác thời gian của người khác người nào cũng được nhưng biết giữ không gian riêng tư cho đối phương vui vẻ hoà đồng,9,9
2014,Nữ,Tien Giang,thích vui hướng nội thích ở 1 mình hoà đồng cống hiến hết mình,e thik các loại nước ngọt không có gas vd như nước yến canh trứng cà chua đồ hàn,bới lội thích xem phim khoa học,không,tinh tế học giỏi (chung ngành càng tốt) thoải mái là ổn ham học,5,8
87,Nữ,Hoa Binh,thích ngoại giao,ăn sushi bún chả nướng,đọc manga xem anime xem phim âu action nghe nhạc xem phim hàn dân chơi hệ điều hành (windows,không,hào phóng,10,5
2122,Nữ,Quang Ngai,tham công tiếc việc là một người nhiệt tình hướng nội khi không có ai,bánh gai matcha đá xay,học ngoại ngứ học toán,không,người ít nói người ngay thẳng mình thích người cùng phòng vui tính không tính toán với bạn cùng phòng khác.,10,7
815,Nữ,Quang Ninh,thích tự do ít nói chuyện  thích ở 1 mình tốt bụng,món nào chay đều thích cơm đậu hũ dồn thịt xốt cà thích đồ chiên mỳ cay,tiêu tiền. khám phá xung quanh kĩ thuật sở thích của mình là thay vì thoát khỏi áp lực học toán,không,mình thích ở 1 mình thôi 😶 ở sách không bừa bộn đẹp,10,8
2007,Nam,Thanh Hoa,cũng hơi hướng ngoại không thích nơi đông người,bánh plan pizaa ...,bóng đá,không,trầm tính học giỏi hoạt bát trúa hề thích các hoạt động nhóm người có chính kiến phải sạch sẽ,8,7
2024,Nữ,Bac Lieu,năng động là một người hướng nội,ăn đồ cay thích ăn đồ việt nam đồ ăn chay ......... beer,thích đi du lịch thích đá bóng thích môn toán,không,vui tính người ngay thẳng biết chia sẻ công việc trong phòng,8,7
830,Nữ,Lao Cai,là một người nhiệt tình,mứt; các loại món nước như hủ tiếu thích uống trà sữa cơm thích bánh sandwich nướng salad,thích chơi game esport mình thích hát du lịch,không,biết lắng nghe/ tôn trọng lẫn nhau giữ vệ sinh thích gọn gàng tích cực với cuộc sống điểm khác biệt giữ 2 đứa. không quá xen,8,10
2700,Nữ,Bac Lieu,là người hướng lung tung bạn bè. hướng ngoại partime nhộn nhịp nói nhiều thích đám đông,đồ gì có vị cay cũm được,"thích:
1. thiên nhiên cây cỏ
2. bóng bàn tấu hài …. viết lách edit",không,biết tôn trọng người khác quan tâm mọi người cùng nhau đi chill bình đẳng,3,8
2354,Nam,Hung Yen,là một người hướng ngoại nói nhiều khá hòa đồng dễ bắt chuyện người hướng ngoại ít nói với người lạ,bún chả bún bánh cam,giải đố viết lách,Có,thích những bạn hoạt bát,7,8
2152,Nữ,Nam Dinh ,mình khá dễ hòa đồng nhưng tùy đối tượng dễ bị lung lay bởi cảm xúc thích tụ tập bạn bè thân thiết ở nhà thích được đi chơi không thích cảm giác 1 mình lắm nhưng đi với nhiều người thì không biết phải nói gì,bò nea  nước c2 chanh các món ăn truyền thống hoặc món ăn đường phố việt nam chỉ cần không cay là được,đọc sách thích hát đi từ thiện học ngoại ngứ lịch sử,không,có thể nói nhiều một chút,10,7
461,Nam,Nam Dinh ,".... mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự tốt bụng nói nhiều thích đám đông",thịt nướng mì ốc,game online phong thủy,không,hoà đồng nhưng cần không gian riêng không làm phiền người khác như buổi tối ồn ào đúng lúc đúng chỗ đừng ham chơi 🤡 vì mình sẽ chơi cùng,9,8
1925,Nữ,Kon Tum,mình là người phần hướng nội nhiều hơn ngại bộc lộ tâm tư tình cảm cá nhân với người khác. thích 1 mình thích ở một mình- lúc thích nói chuyện nhiều người,tôm .,vệ sinh máy tính android đông y,không,có thể hoạt bát nhưng im lặng lúc cả phòng đang làm việc,9,10
2101,Nữ,Khanh Hoa,khó giao tiếp hướng lung tung thích ở một mình- lúc thích nói chuyện nhiều người,sữa milo socola đá xay đốc cơ thanh .,ngắm bầu trời đá bóng đá cầu nghe nhạc,không,tĩnh lặng thích bạn cùng phòng dễ thương,5,8
307,Nữ,Binh Duong,thích 1 mình mình là một người thích vẽ năng động kiểu người sợ xã hội,hải sản,nấu ăn môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính thế giới đánh võ,không,thời gian của người khác mình thích người cùng phòng vui tính biết giữ gìn hoà khí chung,6,7
657,Nữ,Ninh Thuan,nói khi cần thiết,mình thích trà bí đao ngô gia bim bim,... học ngoại ngứ học ngoại ngữ chăn nuôi,không,ồn ào đúng lúc đúng chỗ dễ bắt chuyện ngăn nắp là được nếu chung sở thích thì càng tốt,8,9
543,Nam,Phu Yen,hướng ngoại hướng ngoại thân thiện vui vẻ xàm sống cống hiến nửa hướng ngoại,bông lan trứng muối,đọc sách..,không,dễ gần người nào cũng được nhưng biết giữ không gian riêng tư cho đối phương thẳng thắn không có ạ,9,7
467,Nữ,Phu Yen,là một ambivert hướng nội part time .. thường là hướng ngoại với ng quen nhma hướng nội với người lạ là một người 2 hướng,bún riêu,thích ngủ thiết kế vẽ đọc truyện tranh tập thể dục,Có,điểm khác biệt giữ 2 đứa. không quá xen chăm chỉ sống thoáng đừng ở dơ,8,7
2720,Nữ,Phu Tho,hướng nội ít nói cũng hơi hướng ngoại là một người nội sạch sẽ ít bạn,cá hồi,đi phượt trò chơi điện tử vệ sinh máy tính vận động thể lực (nhẹ) bóng đá,không,cùng sở thích nấu ăn ngon im lặng để ý tiểu tiết (theo hướng tích cực) siêng năng,8,10
174,Nam,Ha Giang,khó bắt chuyện với người lạ dễ bị lung lay bởi cảm xúc,ngũ cốc các món nhật,chiêm tinh đi dạo đàn ngắm bầu trời,không,chung sở thích đừng ở dơ,7,10
1698,Nam,Lao Cai,không lười thì đi có hứng thì xác xe,không thích ăn cay lắm cháo lòng xúc xích bánh tráng các loại ăn haidilao,game mobile đi chơi cùng bạn bè người thân thích đi bộ thể dục,không,hay ham chơi chung ngành sạch sẽ nề nếp là người vui tính im lặng,10,10
2358,Nữ,Quang Nam,hơi hướng nội,đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í. đồ ăn ngọt bánh kẹp thịt bò với sữa thịt nướng bánh cam,tập thể dục tiếng anh travelling,không,là một người biết cách bắt đầu câu chuyện tại vì mình ít nói học chung ngành trung thực sạch sẽ một chút,8,10
2554,Nữ,Quang Ngai,hòa đồng không thích đám đông lắm nhưng dễ hòa nhập là một người nhiệt tình,hoành thánh đặc biệt là tôm bò nướng,văn học thích e thik chơi cầu lông thích coi phim chiêm tinh,không,khắc kỷ thoải mái là ổn,7,8
2970,Nam,Phu Tho,tham công tiếc việc khác trầm thích mọi thứ có trật tự vui vẻ hoạt bát năng động nhưng hơi hướng nội,món nào hợp khẩu vị thì mình ăn,nói chuyện cùng bạn bè,không,biết chia sẻ sòng phẳng tiền bạc. thẳng thắn hiểu biết ngành gì cũng được (khác ngành thì dễ nhờ hơn :>),8,9
2208,Nữ,Kon Tum,thích vui chơi nghiêng về hướng ngoại thích sự an toàn dù chạy xe ẩu (ý là cái gì cần phải xảy ra thì phải đảm bảo nó được xảy ra nhưng hướng nội với người lạ,gà nói chung hoành thánh cơm người yêu nấu thích caffee,vân vân... cafe sở thích của mình là thay vì thoát khỏi áp lực,không,phát triển bản thân trung thực khong co có chừng mực - vui vẻ,10,8
2977,Nam,Quang Nam,mình là một người ít nói thích đi chơi ở ngoài với bạn bè lowkey,củ,thích môn toán tâm lý học trò chơi điện tử âm nhạc ( nghe nhạc) tập trung nghiên cứu một vấn đề nào đó,không,biết nghĩ cho người khác biết đều hướng nội vui vẻ - hài hước,7,8
2840,Nam,Bac Ninh,là một người 2 hướng cũng có lúc hướng nội có lúc hướng ngoại ko thích đi chơi quan tâm người khác,bánh tép kẹo dẻo nước suối trà nóng mình ăn uống healthy nền chỉ uống nước ép trái cây gà phô mai,đọc truyện tranh thích đá banh thiên văn học stress thì mình đâm đầu vô luôn,không,thích công nghệ dễ dãi,8,5
332,Nam,Lam Dong,một người hướng ngoại với bạn bè khá hòa đồng dễ bắt chuyện thích gọn gàng thích trò chuyện ít bạn,các loại lẩu thích ăn trứng vịt lộn,truyện làm gốm kĩ thuật,không,có tổ chức,7,7
2463,Nữ,Vung Tau,sáng nắng chiều mưa,thích đồ ngọt bánh . nước coca . mì cay... nui xào bún cũm được,đọc manga xem anime xem phim âu action nghe nhạc đánh cầu lông anh văn đi xe đạp,không,ăn xong nhớ dọn mình thích bạn cùng phòng hoà đồng không ích kỷ ý kiến của mình lên bạn cùng phòng học tốt,10,10
908,Nữ,Son La,một người hướng nội hướng nội nhưng thích làm social media,thích ăn gà 7749 loại mắm. không thích đồ ăn chứa quá nhiều dầu nước nha đam táo,chơi cầu lông thiết kế badminton thiên văn học,không,sạch sẽ không bừa bộn hoà đồng nấu ăn ngon,10,9
969,Nam,Binh Phuoc,lowkey,bánh bao,lập trình chăn nuôi,không,gia han vui vẻ hoà đồng thống minh,10,8
2009,Nữ,Tra Vinh,không thích giao tiếp với người lạ hướng nội part time .. thường là hướng ngoại với ng quen nhma hướng nội với người lạ hiểu biết. là một ambivert,các món ăn có nước,phong thủy,không,tốt bụng thích ăn ngoài cùng mình chia việc nhà thì phải lm không vô duyên tích cực,7,7
1865,Nam,Ca Mau,thích yên tĩnh đam mê học tập cởi mở thích sự an toàn dù chạy xe ẩu (ý là cái gì cần phải xảy ra thì phải đảm bảo nó được xảy ra hoà đồng vui vẻ,"redbull
không thích cafe gói ăn đồ ngon gà phô mai",thích học ngôn ngữ anh xem phim đặc biệt là thích nhạc của sơn tùng m-tp hacking,không,không ích kỷ hướng ngoại,10,9
851,Nữ,Thanh Hoa,mình là người thích giao lưu thích không gian riêng,bánh bột lọc thích uống trà sữa ạ :v đồ ăn vặt hoặc đồ hàn,kĩ thuật âm nhạc,không,người sòng phẳng công bằng vui vẻ hoà đồn thân thiện tôn trọng lẫn nhau mình thích bạn cùng phòng hoà đồng,9,7
278,Nam,Lao Cai,thích sự an toàn dù chạy xe ẩu (ý là cái gì cần phải xảy ra thì phải đảm bảo nó được xảy ra là một người hướng nội là một người nội ít nói nhiều,trứng ốp la,coi anime bóng đá lịch sử trang điểm thích đồ ăn nhạt,không,người kiên định không ba phải hùa theo đám đồng người chịu chia sẻ cảm xúc của bản thân. tính cách thẳng thắn nhưng không vô duyên nề nếp tâm lý,9,8
1542,Nam,Ha Giang,hướng nội + ngoại part time một người hướng ngoại với bạn bè cá tính mạnh hòa đồng,đặc biệt là tôm các món nhiều gia vị mì quảng,tập thể dục chạy xe tò mò về cách vận hành của xã hội hacking pokemon,không,"cầu tiến biết điều tinh ý nói ít 
<3",6,9
2601,Nữ,Bac Lieu,khá hướng nội. thích sạch sẽ hướng ngoại full time hòa đồng,các thế loại mì bò né,đánh bóng bàn tham gia hoạt động ngoại khoá,Có,có thể là người hoạt bát giống mình hoặc ít nói nhưng biết lắng nghe. bình đẳng mong muốn có một người bạn có cùng sở thích khám phá giống mình thích nấu ăn,8,10
2521,Nữ,Ca Mau,thích tìm hiểu quan tâm người khác,"đồ cuốn
pepsi bún chả nướng trà olong",đi coi phim xe cộ ca hát,không,đánh giá thích ăn,5,10
394,Nam,Thanh Hoa,thích ở một mình tôi là một người ít nói thích nghệ thuật mình là một người hướng nội,cái gì cũng thích ăn,thích ngủ nghe nhạc xem phim đi lượn đường badminton,không,phải sạch sẽ ngành công nghệ thông tin biết chia sẻ,5,9
1620,Nữ,Thanh Hoa,không thích sự ồn ào mình là ng dễ giao tiếp người thân,nước cam,ở nhà một mình ngủ:)) gym,không,có thói quen dọn dẹp ăn ở sạch sẽ vui tính hài hước,5,9
211,Nữ,Tay Ninh,trải nghiệm ở một mình,đặt biệt là trà sữa,chơi sở thích của mình là thay vì thoát khỏi áp lực đi cắm trại,không,hòa đồng tư vấn lẫn nhau,8,5
1089,Nữ,Kon Tum,đôi lúc hướng ngoại người hướng nội cởi mở hướng ngoại với người quen một người nửa hướng nội thích sống ở trọ,espresso bò nướng đồ nhướng,đàn guzheng học tiếng nhật travelling tìm hiểu về văn hóa các nơi kiếm tiền,không,đồ mình sở hữu là được vì mình cũng như vậy. không tự tiện biết đúng sai,8,9
1839,Nữ,Quang Ngai,có lúc hướng nội,lẩu kim chi mì quảng,đi từ thiện thích đọc,không,người vui vẻ .. thích nấu ăn biết nghĩ cho người khác người trung thực,9,8
2199,Nam,Binh Thuan,là một người nội thích ở một mình- lúc thích nói chuyện nhiều người tốt bụng,thích ăn cay come gà nước suối trà nóng,học toán trống tìm hiểu về văn hóa các nơi nghệ thuật,không,hài hước sạch sẽ một chút hiền hòa thấu hiểu biết chia sẻ,6,9
1097,Nam,Binh Phuoc,thích ở một đám,cá bia,giải đố ngắm bầu trời mình còn có thể chơi cầu lông nữa coi phim anime,không,vui hoà dồng dùng đồ của ng khác thì phải biết mượn freedom,8,8
1379,Nữ,Binh Dinh,náo động vùng trời :),bò né,hóng drama các chương trình giải trí video game lắp ráp,không,có trách nhiệm thoải mái tự cho mình là đúng. cởi mở,7,7
1545,Nam,Hoa Binh,nhưng lại thích giao lưu =)) thích vui vẻ thích sự an toàn dù chạy xe ẩu (ý là cái gì cần phải xảy ra thì phải đảm bảo nó được xảy ra thích đám đông sáng nắng chiều mưa,bánh xèo bún chả hoành thánh .........,phụ kiện công nghệ mua sắm chơi vape phá máy tính,không,hoà đồng với mọi người,8,8
1093,Nữ,Ca Mau,nhưng hướng nội với người lạ hướng nội khi không có ai hòa đồng không thích đám đông lắm nhưng dễ hòa nhập bạo lọan tùy lúc,cà phê sữa cũng không biết nữa 😂 nước ngọt có ga,học xem anime các hoạt động phải chạy,không,hướng nội,8,5
886,Nam,Binh Thuan,hướng nội với người ngoài hướng ngoại thân thiện vui vẻ người suy nghĩ nhiều dễ quạu dễ nguôi vui vẻ...,uống rượu cá tra nhúng giấm lẩu kim chi uống caffee,ngôn ngữ bóng đá đếm tiền học hóa thích đọc sách,không,biết chia sẻ khi ở chung với nhau,7,9
