,Name,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
48,48,Nam,Ha Giang,thích giao tiếp hướng ngoại với người quen không thích ồn ào,nước nha đam thích ăn gà cá tra nhúng giấm nước thảo mộc món nào hợp khẩu vị thì mình ăn,tin học thích tiếng anh linux sở thích của mình là thay vì thoát khỏi áp lực môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính,không,người hoà đồng,8,8
49,49,Nam,Bac Lieu,hướng nội ít nói 50% hướng ngoài bình thường vui vẻ hoà đồng,thì cái gì mình cũng ghiền nhưng điều kiện là phải nấu ngon fastfood,thích đọc truyện hích võ taekwondo,không,ngành công nghệ thông tin mình thích ở 1 mình thôi 😶,8,7
50,50,Nữ,An Giang,nửa hướng ngoại,mì có ăn là được bánh tráng các loại đồ ăn chay,học toán thích xem tivi hacking pha chế,không,có chí cầu tiến người vui vẻ học giỏi sẻ chia người hài hước,8,10
51,51,Nữ,Dak Nong,riêng tư tính cách thất thường nhưng lúc high thì lại muốn nói rất nhiều hướng nội nói nhiều,bánh chuối chiên các loại mì uống caffee cũm được hủ tiếu nam vang, đi chơi,không,vô duyên sạch sẽ ngăn nắp thích gọn gàng đừng quá ồn ào cẩn thận,10,10
52,52,Nam,Bac Lieu,hướng ngoại tùy hoàn cảnh ; không thích nơi quá ồn ào ; không thích người nói nhiều ; không thích nói đùa ; nhớ dai nhưng cũng dễ bỏ qua ; không thích chia sẻ tâm sự ; không thích bị quản lý ; hơi vô tâm ; dễ xúc động ; cái tôi cao ; có tham vọng ; hoàn toàn tự hào khi làm tốt 1 công việc được giao chỉ thích ngủ một mình,bánh chocopie mình ăn thích ăn đồ healthy,tiêu tiền. cafe khoa học coi phim hoạt hình,không,vui vẻ hoà đồn thân thiện tôn trọng lẫn nhau sạch sẽ,8,9
53,53,Nam,Quang Ngai,thích làm việc thường thích ở một mình mình là dễ gần phần hướng nội nhiều hơn lowkey,canh trứng cà chua gà rán hay đồ chiên,thích vẽ lịch sử ngủ:)),không,có ý thức giữ vệ sinh chung sòng phẳng tiền bạc. o cuộc sống của nhau. không phán xét đừng nói quá nhiều miễn bạn cùng phòng biết nói chuyện là được :),10,9
54,54,Nữ,Tay Ninh,thích giáo tiếp với nhiều người,bánh mì,game o buổi sáng vẽ trồng cây coi phim anime,không,vui vẻ thoải mái ngành gì cũng được (khác ngành thì dễ nhờ hơn :>) chung ngành sạch sẽ thống minh,1,6
55,55,Nữ,Ha Tinh,1 tháng chắc 1-2 lần) để giao lưu ambivert dành thời gian cho bản thân nhiều hơn. nhưng vẫn tham gia clb cũng như đi chơi với bạn bè (nhưng ít,không có cụ thể thích 1 món ăn hay đồ uống nào cá lẩu gà,tâm lý học bóng bàn chơi đàn piano thiết kế mình thích hát,Có,sạch sẽ hoà đồng vui vẻ trung thực trầm tính học giỏi hoạt bát dẫn tiếp xúc ko so đo vui vẻ,2,7
56,56,Nữ,Tien Giang,hướng nọpi một người hướng nội sạch sẽ cũng có lúc hướng nội có lúc hướng ngoại ghét phiền phức,mỳ cay hoặc các loại nước có gas nui xào thức ăn có vị cay,thiên văn học ăn uống thích học thích code cafe,không,điểm khác biệt giữ 2 đứa. không quá xen,6,9
57,57,Nữ,Lao Cai,tùy lúc thích gọn gàng thích ở một mình nhưng vẫn hoà đồng giao tiếp tốt với mọi người lowkey hướng nội,nước ép thơm hamburger bột sò,tin học lập trình quay tik tok,không,quan tâm mọi người,10,10
58,58,Nam,Ca Mau,hướng nội part time hướng ngoại partime quyết đoán,cơm ức gà bạc sỉu,ios công nghệ,không,hoạt bát vui tính không có ạ,7,10
59,59,Nữ,Ca Mau,là một người khá là trầm tư người hướng nội mình là một người thích vẽ năng động thích đi lang thang một mình,phở bò trà đào miến trộn c2 7749 loại mắm. không thích đồ ăn chứa quá nhiều dầu,vệ sinh máy tính vẽ tranh thần số học ...),không,điềm tĩnh không quá kĩ tính thân thiện thẳng tính ,8,9
60,60,Nữ,Dien Bien,hoà đồng với mng tích cực,bánh gạo sprite gà jollibee,thích tranh biện nhảy,không,người ngay thẳng dễ tính...,9,5
61,61,Nữ,Hoa Binh,vui vẻ hoà đồng yên tĩnh là một người khiêm nhường,khoai tây lắc món nào hợp khẩu vị thì mình ăn nước dừa eatclean,trang điểm đi dạo ngắm cây,không,thích gọn gàng ngăn nắp. biết tuân thủ lợi ích chung. người hướng ngoại,8,9
62,62,Nam,Hai Duong,.... nhưng thích trải nghiệm điều mới,bún mỳ tôm pizza cứ đồ ăn là thích khoai tây lắc,thích xem tivi,không,bạn cùng phòng phải là người sạch sẽ thích những bạn hoạt bát dễ tính,5,8
63,63,Nam,Thanh Hoa,hiền hoà nóng nảy - ưu tư người hướng nội hoặc có backup) mình là một người thích vẽ năng động,cơm nước ngọt blahblah tắc thích đồ ngọt nước ép trái cây,của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng) thích học ngôn ngữ anh thích những gì cần tư duy logic diy.. mình rất thích nghệ thuật,không,ở sạch sẽ cẩn thận hiểu lễ phép mình thích bạn cùng phòng hoà đồng respect private space and friendly is good không thảo mai thích nói thật,10,9
64,64,Nam,Khanh Hoa,hướng ngoại tùy hoàn cảnh ; không thích nơi quá ồn ào ; không thích người nói nhiều ; không thích nói đùa ; nhớ dai nhưng cũng dễ bỏ qua ; không thích chia sẻ tâm sự ; không thích bị quản lý ; hơi vô tâm ; dễ xúc động ; cái tôi cao ; có tham vọng ; hoàn toàn tự hào khi làm tốt 1 công việc được giao có lúc hướng nội thích đám đông hướng nội với người ngoài người hay thay đổi,fanta vị nho : d thích đồ ngọt bún rêu,của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng) thường thức tác phẩm nghệ thuật tụ tập với bạn bè tắm (2l/ngày) tám chuyện,Có,dễ tính... dễ tính biết nấu ăn trầm tính học giỏi hoạt bát,7,7
65,65,Nữ,Hai Duong,thích ở nhà hơn là ở ngoài thích 1 mình một người hướng nội thích sự im lặng thích sự an toàn dù chạy xe ẩu (ý là cái gì cần phải xảy ra thì phải đảm bảo nó được xảy ra hướng nội ít nói thik ở một mình,bánh tráng bún đậu trà sữa lẩu chay sữa tươi trân châu đường đen nước lọc nước ngọt miễn là nước ngọt có ga,thư giãn mình thích chạy bộ …. trí tuệ như nhau nên điều đó cũng là một sự thú bị,không,hòa đồng gọn gàng nếu cùng ngành thì tốt có trách nhiệm gọn ràng sạch sẽ,10,10
66,66,Nam,An Giang,dễ tiếp xúc nhiệt tình em thích ở tập thể nhưng có không gian riêng. em hướng nội hướng ngoại part time,ăn đồ ngọt uống nước ngọt mình rất thích ăn đồ ăn cay thích hamburger,đàn hát đá bóng thích chơi suốt ngày cà phê,không,miễn bạn cùng phòng biết nói chuyện là được :) ít nói thân thiện hoà đồng với mọi người tâm lý =))) ồn ào đúng lúc đúng chỗ,10,7
67,67,Nữ,Bac Lieu,nghiêm túc thích sống ở trọ hướng nội nữa mùa,đặc biệt là tôm đồ ăn nhà nấu,xem tin tức công nghệ tâm lý học viết lách,không,là một người biết cách bắt đầu câu chuyện tại vì mình ít nói mình thích người cùng phòng vui tính đơn giản tử tế,8,7
68,68,Nữ,Thai Binh,thích một mình nhưng lại sợ cô đơn,thích trà sữa… coca cola… bánh tàu hủ. các món nướng như cơm sườn lẩu bò,chơi hame,không,sẻ chia cùng tần số với mình :)))). thật thà thẳng tính xinh đẹp có ý thức,7,7
69,69,Nữ,Ha Giang,.... mình là một người ít nói,matcha đá xay các món ăn có nước sữa tươi trân châu đường đen,hacking chơi hame học ngoại ngứ thích đá banh mình thích xem phim,không,dễ gần thông cảm chịu đi chơi với tôi ai kiềm t việc t chơi ngu,7,8
70,70,Nam,Dak Nong,thích nghệ thuật hướng ngoại full time nói khi cần thiết ở giữa hướng nội khá hòa đồng dễ bắt chuyện,sữa trái cây cháo gà,e thik chơi cầu lông đi tản bộ,không,thích 1 mình vui tính,9,8
71,71,Nữ,Bac Lieu,nửa hướng ngoại khó giao tiếp thích nơi đông người cần nhiều riêng tư nghiêng về hướng ngoại,ít đường bún bò phở hu tiu com tam ốc chocolate,coi phim anime,không,công bằng thật thà sạch sẽ không bừa bộn,9,9
72,72,Nam,Quang Ninh,hương ngoại nhưng khó kết bạn với hơi trầm dễ ngại,"bún cá châu đốc 1. tofu
2. bánh mì ( thích mọi loại bánh mì)
3. nước ép",ko thích gì hết được ăn,không,nhiệt tình ko ồn ào với phá phách là được,8,7
73,73,Nam,Binh Dinh,hướng ngoại thân thiện vui vẻ hướng ngoại ít nói thích ở một mình,cơm chiên đồ ăn hàn quốc,nghe nhạc xem phim đi lượn đường trò chơi điện tử học nhóm online,không,không tệ nạn biết tôn trọng người khác tiền bạc rõ ràng,7,7
74,74,Nữ,Dong Thap,ở một mình,socola ngọt ngào có chút đắng nước ép trái cây nướng cơm sườn,cờ tướng,không,tâm lý thích công nghệ hoạt bát tinh tế,9,8
75,75,Nữ,Bac Lieu,thích ngoại giao,"đồ cuốn
pepsi hủ tiếu xào thịt sườn stings",đi phượt tụ tập với bạn bè phim hành động bị người ta lùa gà,không,không nói xấu sau lưng cá tính thấu hiểu thích nói thật biết chia sẻ,10,9
76,76,Nam,Quang Ngai,thích giao lưu với mọi nguời ít nói với người lạ,spaghetti,phá máy tính trống video game ráp pc kiếm tiền,không,thích những bạn hoạt bát trúa hề vui vẻ nhiệt tình,6,10
77,77,Nam,Hung Yen,tôi là một người ít nói sạch sẽ,bánh plan trà sữaaaaa eatclean,thường hay quan tâm những tin tức về nó pokemon thích nghe nhạc chính trị,không,ai kiềm t việc t chơi ngu tâm lý =))) tiết kiệm một chút lắng nghe điểm khác biệt giữ 2 đứa. không quá xen,7,8
78,78,Nữ,Thai Binh,mình là một người hướng ngoại ở giữa hướng nội,pepsi vị chanh không calo ăn đồ cay nước trà nước ép trái cây mì cay,đu otp trồng cây đánh võ chơi cầu lông game,không,nói nhìu hoà đồng sạch sẽ.,7,8
79,79,Nam,Tra Vinh,hương ngoại nhưng khó kết bạn với hơi trầm là người ít nói chuyện vui vẻ… khác trầm,"đặc biệt là tôm 1. tofu
2. bánh mì ( thích mọi loại bánh mì)
3. nước ép nước trà ham bơ gơ",... nhạc cụ nói chuyện cùng bạn bè thích đánh cờ,không,lịch sự thích gọn gàng,10,7
80,80,Nam,An Giang,indoor type,tắc,ko ngôn ngữ truyện,không,"trầm tính ít nói nữa thì quá tuyệt vời biết cư xử
nói ít thôi
ở sạch sẽ
chia việc nhà
có thể tin tưởng được (tiền bạc)
ngủ đừng ngáy
trình độ xấp xỉ như mình chứ đừng zốt quá nó ô dề lắm :b hoà đồng hoạt bát sạch sẽ tự cho mình là đúng.",7,8
81,81,Nữ,Bac Lieu,ghét phiền phức thích mọi thứ có trật tự thường thích ở một mình người đang học trường fpt,moutain dew đồ ăn healthy hoành thánh phở,xem bóng đá thích tranh biện cầu long. bị người ta lùa gà,không,hiểu biết thấu hiểu thân thiện ồn ào đúng lúc đúng chỗ biết quan tâm,9,8
82,82,Nam,Ha Giang,nhát bắt chuyện với người lạ là người tính cách thất thường đôi khi ko thích chia sẻ nhiều lắm cũng hơi hướng ngoại,trà come gà bánh tàu hủ. các món nướng như cơm sườn,bói tử vi thích hút thuốc thích xem phim,không,thấu hiểu thích ăn ngoài cùng mình thích nói chuyện,9,10
83,83,Nữ,Gia Lai,hướng ngoại thích giao tiếp vui vẻ hoà đồng vui vẻ khá hướng nội. thích sạch sẽ hướng nội part time,khoai lang lắc cháo lòng fastfood moutain dew nước suối trà nóng,gym,không,thoải mái là ổn có thể là người học mỹ thuật hay kinh tế không quá ồn ào hoạt bát… người hòa đồng,3,7
84,84,Nữ,Kon Tum,hướng nội với người ngoài hoà đồng,không độ) cá dồ kho phở… uống rượu,code tiêu tiền.,không,"nói ít 
<3 1 người tốt bụng không vô duyên hiểu chuyện",7,8
85,85,Nữ,Hai Duong,hướng trung (ambivert) lúc thích một mình hiểu biết.,hamburger nước trà (như c2 đồ thái thì cái gì mình cũng ghiền nhưng điều kiện là phải nấu ngon không có cụ thể thích 1 món ăn hay đồ uống nào,tin học toán học,không,vui vẻ chân thật ... vui tính hài hước,7,9
86,86,Nam,Hoa Binh,thích sống ở trọ thích đi đâu đó thường thích ở một mình là một người 2 hướng là người thích ở một mình,ăn sushi,xem bóng đá đánh võ,không,để ý tiểu tiết (theo hướng tích cực) ai đó chịu chơi ngu với t gọn gàng sạch sẽ. rạch ròi về tiền bạc,9,5
87,87,Nữ,Ha Giang,dễ tiếp xúc,trà ô long hầu hết các món con người dùng được bánh mì kẹp các loại cơm bò xào nướng,đi dạo phim hoạt hình ngôn ngữ đi dạo ngắm cây tắm (2l/ngày),Có,dễ bắt chuyện hòa đồng không quá ồn ào giỏi hòa đồng,8,9
88,88,Nam,Phu Tho,hướng ngoại thích chia sẻ tuy nhiên hơi khó ngủ một người hướng nội dành thời gian cho bản thân nhiều hơn. nhưng vẫn tham gia clb cũng như đi chơi với bạn bè (nhưng ít thích nghệ thuật,đi ăn với bạn salad đồ nhướng bánh plan,lướt mxh chạy xe thích ngồi lướt mạng xh cả ngày các chương trình giải trí nói chuyện cùng bạn bè,không,người chịu chia sẻ cảm xúc của bản thân. o cuộc sống của nhau. không phán xét,8,8
89,89,Nữ,Vinh Long,mình là dễ gần khá vui vẻ hướng nội nhưng thích đi chơi,cơm tấm long xuyên snack khoai tây ham bơ gơ,kiếm tiền,không,chung gu giải trí ngay thẳng ocd càng tốt. không quá tính toán hơn thua cùng ngành,8,9
